"","C08_V_1","C08_V_2","C08_V_3","C08_10_1","C08_10_2","C08_10_3"
"HSPA8",5622.7105643564,5344.8008054878,4903.17188771104,31926.7599622092,31205.9061810548,33010.7813922606
"A2M",14217.6409870454,13801.0309485439,12866.9715103612,62102.1251049583,59226.4608623931,61039.2763519189
"ATP1A1",1497.14396146569,1522.1214257501,1332.43953028206,9470.76478594204,8762.26626522891,8933.35155392806
"FOS",23948.4959980303,23572.0311206916,24765.1297074797,5867.56184403971,5397.59001459446,5800.41095751306
"SYT2",1748.02301164147,1443.35106277369,1499.47630842735,8732.84376867624,8473.30695095367,8604.93180082294
"PDIA6",897.821786045754,805.079445126575,881.440229289773,4485.12753321263,4610.60082336245,4593.69817511155
"CCL22",384.44891485271,426.286670225295,364.911115332792,3317.53098690597,3194.70018341372,2842.12615855092
"EEF1A1P5",4569.25084903492,4347.42900368351,4593.51139899554,15825.6035886404,16767.2891509895,17832.4404873032
"EIF3L",2073.23659520268,2190.51112335878,2014.72052409091,8420.70629196359,7864.79263030343,8476.23805533136
"ABHD2",566.800817063814,553.709316216551,601.332401323052,3083.2332799471,3083.36585938414,3358.57248786126
"PSAP",79650.6139995597,78017.4109773739,74741.2488302577,244790.507921678,227277.549121854,221856.317796064
"FLNA",1542.44156774743,1363.42231210644,1329.86973369521,7516.98656512224,6697.05704849698,6269.22388751808
"CNOT1",2950.15179373378,2849.63371944083,2855.04400799107,8893.19369436902,9267.9450652106,9722.22750031796
"PRKDC",4256.81351339934,4478.32681274725,4417.48033279627,12376.5233908505,12830.6434341572,13112.5555877161
"PECAM1",3801.51449641365,3650.07961380409,3686.37320383726,10579.9815049334,10530.8672446607,10854.5653259094
"GPNMB",854.847133932309,783.070079000813,680.996095515422,3698.94585869948,3976.59009262911,3959.42185804594
"GOLGA8A",9346.40609613219,10189.1781285372,10342.1463637804,3053.65416744067,3238.04408055501,3173.05293267211
"SRA1",15654.3881401354,15694.9948230503,14967.7802201116,5487.70376764127,5140.92615309115,4876.1558762554
"LIPA",4233.5839717164,4773.7156739088,4634.62814438515,14074.987166878,15023.3347013047,15810.110201007
"GNS",2254.42702032964,2228.73791715616,2234.43813226664,7027.37441337098,7213.78429284801,7918.00804241986
"CLTC",7931.72700764095,8367.03429086224,7755.64609911526,21353.0056388561,21986.4042950021,23335.351617576
"SLC31A1",2736.44001025071,2608.68907974827,2607.05863735998,7587.82075559818,8018.6209711382,8301.58225787851
"DUSP1",8129.17811194597,8550.05954601331,8633.23163352476,2699.48321506098,2802.05546813382,2451.86655371608
"POU2F2",17791.5059749662,17755.7665250362,18713.2587454464,7070.18628673556,6736.15154395775,6478.9779791959
"CCNL2",12323.2718628014,12705.1961930191,13171.492405903,4734.21479642471,4753.38071982787,4943.00977001725
"MGAT5",1378.67329888268,1304.34453987414,1114.00682039976,5318.79146727558,4990.49733360079,4942.17409634523
"IER2",5133.72871193044,4696.10369862322,5296.35076549919,1445.48452432764,1357.25889675757,1238.46838193839
"PLXDC2",10363.8600218451,10219.2962084988,10437.2288374939,25890.2858178038,28552.5797717391,29409.8635395126
"IQGAP1",8657.65018523293,8938.11942244123,9115.06849355926,21841.0609952123,22917.0232630357,24280.4985406342
"PARP4",2800.3212498788,2905.23632860065,2759.9615342776,7468.7259078749,8020.3207318104,7832.7693278735
"SMCR8",1101.08027577151,1028.64826945669,1035.62802450081,4217.35872525964,4036.08171615636,3633.50912595689
"NOTCH2",1117.34095494957,1151.43736468463,1101.1578374655,3775.22883305818,3940.04523817665,3585.87572665157
"ABCC4",4889.81852425954,5131.65747037515,5206.40788495942,12646.6273918961,13862.3981621871,13507.8292345831
"CPD",1108.04913827639,1149.12058930297,1149.98397261567,3823.48949030552,4477.16961059417,4494.25300814079
"SEL1L",1852.55594921472,1724.83927164528,1843.82905106534,5585.0034798335,6116.58877893817,6659.48349235292
"PARM1",5435.7127538087,5190.73524260746,4904.45678600447,12896.4930528058,13617.6326253892,13699.1985054764
"FGD5",923.374281896992,909.33433730124,899.428805397728,3204.663320763,3119.0608335005,2965.80586201035
"ALOX5AP",18540.6586942411,18292.1000258903,17429.6453503145,45302.7459966982,42342.7381053574,41555.5446886979
"EGR1",6385.80100864108,7038.36360948068,6856.21729371754,2414.58965776216,2292.12726647162,2152.69537913177
"CX3CR1",11014.2871889675,11158.7486257616,11000.0142900142,24307.0249010119,23797.4992912391,23809.1785896131
"HYOU1",1353.12080303144,1041.39053405581,1232.21746339489,5244.06528831195,5022.79278637273,4585.34143839132
"MIR503HG",4602.93368447519,4407.66516360665,4485.57994234781,1492.96678387744,1313.06511928018,1257.68887639492
"TBC1D14",475.044127416188,401.960528717873,380.329894853896,2191.18951856882,1981.92094379378,2032.35837036043
"ITGB1",3712.08076093432,4056.67369328528,3659.39033967533,9750.98795705564,10575.0610221381,10562.0795407013
"PPP1R16B",6891.0435402451,7354.60344907716,6653.20336335633,17927.2773719924,17203.2777634106,16680.8821672552
"DYNC1H1",4727.21173247894,4729.69694165728,4617.92446657062,12104.0841967123,11009.349873887,11683.5536085564
"TRIP12",5714.46725400402,5636.71450357686,5492.94020439327,13305.1518440131,14119.0620236904,14925.1317823344
