"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:2001235","GO:2001235","positive regulation of apoptotic signaling pathway",121,-0.445344307100943,-1.52648498082151,0.00729040097205346,0.0381112086791491,0.0251894501287351,2322,"tags=26%, list=12%, signal=23%","10018/9774/84231/7157/84893/9500/8678/5519/5499/5062/10333/5326/5518/6279/7314/5788/6789/81618/1075/4609/4763/1687/1540/10955/1520/1495/7046/6280/1514/317/7099"
"GO:1903322","GO:1903322","positive regulation of protein modification by small protein conjugation or removal",121,-0.444384466324778,-1.52319498136394,0.00729040097205346,0.0381112086791491,0.0251894501287351,5144,"tags=47%, list=28%, signal=34%","1407/79142/79444/144165/285671/7965/55215/55765/5071/23028/54165/5728/84259/10273/7189/6500/6502/6187/10892/754/8945/10054/79139/80762/64844/120892/7466/64127/22976/59343/5347/329/9759/65018/8555/54472/83593/8554/85453/991/2932/139285/10318/405/7314/54778/29979/7415/79594/8452/7805/54838/1654/10055/23077/3309/10075"
"GO:0170033","GO:0170033","L-amino acid metabolic process",132,-0.431910059434529,-1.49472590838072,0.00730816077953715,0.0381112086791491,0.0251894501287351,3476,"tags=30%, list=19%, signal=25%","4552/2184/8659/56474/54529/2673/4524/10165/5033/5723/6470/4548/2729/5831/81539/8942/6472/2806/384/2746/2618/2805/80150/4942/8833/1743/790/573971/10491/23463/5832/22928/493/54583/113675/10955/4522/256987/10993/5034"
"GO:0006997","GO:0006997","nucleus organization",132,-0.424355981074588,-1.46858325114943,0.00730816077953715,0.0381112086791491,0.0251894501287351,4237,"tags=45%, list=23%, signal=35%","128866/6732/57132/1104/23760/165324/9403/9972/55968/55818/25978/22933/23175/5579/3267/64645/27348/64431/57673/57097/9688/25909/79643/23165/9221/221035/8087/23133/5347/5339/23378/4001/2113/84172/91782/137886/26092/51280/23345/55746/9525/84823/545/11176/9631/1861/10269/28996/55706/26135/23198/8467/5048/25777/4928/4000/1639/10783/5578"
"GO:0032607","GO:0032607","interferon-alpha production",27,-0.615977409534652,-1.66602378305277,0.00738552437223043,0.0383552271483306,0.0253507331547259,2146,"tags=41%, list=11%, signal=36%","3329/57506/1147/29072/84868/51311/1660/6772/1654/7099/51284"
"GO:0032647","GO:0032647","regulation of interferon-alpha production",27,-0.615977409534652,-1.66602378305277,0.00738552437223043,0.0383552271483306,0.0253507331547259,2146,"tags=41%, list=11%, signal=36%","3329/57506/1147/29072/84868/51311/1660/6772/1654/7099/51284"
"GO:0060563","GO:0060563","neuroepithelial cell differentiation",27,-0.601984212247463,-1.62817661671104,0.00738552437223043,0.0383552271483306,0.0253507331547259,2306,"tags=30%, list=12%, signal=26%","4851/4087/7040/56975/57521/25/10527/1499"
"GO:0001764","GO:0001764","neuron migration",117,-0.446746596660954,-1.52257603562864,0.00738916256157635,0.0383552271483306,0.0253507331547259,3644,"tags=38%, list=19%, signal=31%","23654/340533/79932/1600/1399/3320/84892/9215/81565/23245/9373/7531/6722/29967/4756/27185/9181/57630/221692/200933/6792/89796/5361/55140/5663/54820/4208/1952/51225/7155/259266/9289/9693/6774/57178/23060/25836/5108/5048/387/558/8829/8239/1499/2316"
"GO:0071466","GO:0071466","cellular response to xenobiotic stimulus",128,-0.436427371236947,-1.50447773670236,0.00736196319018405,0.0383552271483306,0.0253507331547259,2167,"tags=19%, list=12%, signal=17%","7157/4363/54498/340485/4208/5142/5911/7372/55315/790/8824/51684/1545/10057/4609/5621/3786/2030/57552/9343/19/7037/11309/10257"
"GO:0009132","GO:0009132","nucleoside diphosphate metabolic process",113,-0.444888510490774,-1.5125876828487,0.00741656365883807,0.0384618463195617,0.0254212026672282,2776,"tags=30%, list=15%, signal=26%","9611/204/5208/3939/2597/339123/9759/5213/3099/5663/50808/57089/953/7372/57521/2475/50484/7167/3091/790/6241/6774/2023/5315/5465/6240/2033/5223/5230/4967/3098/5236/351/3988"
"GO:0016331","GO:0016331","morphogenesis of embryonic epithelium",110,-0.436552563178718,-1.4808534087393,0.00744416873449132,0.038569325254675,0.0254922404372112,2274,"tags=23%, list=12%, signal=20%","7040/64398/9968/10427/4976/9653/6497/25902/5567/29072/3091/10370/10959/7798/25/57534/51684/6789/10653/4522/6692/317/6768/1499/2909"
"GO:0010977","GO:0010977","negative regulation of neuron projection development",116,-0.455698063963366,-1.54833452974703,0.00746268656716418,0.0385939307154266,0.0255085033175548,4454,"tags=36%, list=24%, signal=28%","4193/5728/84062/6695/4038/9706/10371/10505/10509/999/10501/1600/10498/120892/146760/4756/6049/382/152559/22876/64218/1902/8934/5663/157285/348/9529/5793/2932/5376/2048/23111/5780/81618/5800/5048/1601/2288/29956/8829/57609/2316"
"GO:0097530","GO:0097530","granulocyte migration",114,-0.446157651286103,-1.51568113378603,0.00746268656716418,0.0385939307154266,0.0255085033175548,2316,"tags=24%, list=12%, signal=21%","301/3689/5734/5880/200576/8729/3958/5142/11314/728/3579/6279/10451/56833/83692/23765/57580/1436/5294/3071/5594/6280/6850/9948/719/1240/5175"
"GO:0042307","GO:0042307","positive regulation of protein import into nucleus",34,-0.584696932689271,-1.64524048316626,0.00749625187406297,0.0386088154269972,0.025518341307815,4206,"tags=47%, list=22%, signal=37%","5580/10155/1432/999/55696/3320/3059/7040/57506/5663/1894/5295/2033/3843/51366/2316"
"GO:0031952","GO:0031952","regulation of protein autophosphorylation",34,-0.581920432198841,-1.63742786990801,0.00749625187406297,0.0386088154269972,0.025518341307815,2441,"tags=35%, list=13%, signal=31%","29904/801/56034/10040/4683/11261/5911/5788/808/1654/9770/10457"
"GO:0036503","GO:0036503","ERAD pathway",109,-0.450250649730811,-1.52414581642689,0.00748129675810474,0.0386088154269972,0.025518341307815,3220,"tags=39%, list=17%, signal=33%","55666/7466/11124/9097/55741/29761/337867/10613/27248/7494/80267/7184/267/81502/54788/80020/84236/11236/10277/11160/4189/81542/55298/91445/1861/10905/10956/7706/4121/811/29978/29979/7415/23392/22926/201595/9695/57003/821/56886/9354/3309/6400"
"GO:0009185","GO:0009185","ribonucleoside diphosphate metabolic process",107,-0.446509302752922,-1.50948088831401,0.0075,0.0386088154269972,0.025518341307815,2776,"tags=31%, list=15%, signal=26%","9611/204/5208/3939/2597/339123/9759/5213/3099/5663/50808/57089/7372/57521/2475/50484/7167/3091/790/6241/6774/2023/5315/5465/6240/2033/5223/5230/4967/3098/5236/351/3988"
"GO:0008277","GO:0008277","regulation of G protein-coupled receptor signaling pathway",107,-0.441462060523026,-1.49241805079249,0.0075,0.0386088154269972,0.025518341307815,3319,"tags=30%, list=18%, signal=25%","6622/4836/9475/57406/4987/157/636/5998/154/54209/55/6586/9815/2771/23516/5142/29767/2870/55625/3091/11343/115207/10019/29978/10419/11240/493/51304/6091/718/408/5578"
"GO:0010463","GO:0010463","mesenchymal cell proliferation",24,-0.625244792442998,-1.65286925714201,0.00753012048192771,0.0386573767597864,0.0255504377254536,609,"tags=29%, list=3%, signal=28%","23345/4609/6772/394/4000/7048/1499"
"GO:0071398","GO:0071398","cellular response to fatty acid",24,-0.623368260299656,-1.64790854043192,0.00753012048192771,0.0386573767597864,0.0255504377254536,1160,"tags=29%, list=6%, signal=27%","5165/6714/3949/1019/4023/7520/5724"
"GO:0071354","GO:0071354","cellular response to interleukin-6",24,-0.623200079367032,-1.64746394481668,0.00753012048192771,0.0386573767597864,0.0255504377254536,1736,"tags=38%, list=9%, signal=34%","9646/1050/4790/6714/6774/6404/2241/3570/3716"
"GO:0001778","GO:0001778","plasma membrane repair",26,-0.619961348963035,-1.65937060709849,0.00754147812971342,0.0386802620266912,0.0255655636505911,4386,"tags=54%, list=23%, signal=41%","493829/128866/57132/6609/25978/79643/840/91782/9525/55207/23208/302/26509/4627"
"GO:1903077","GO:1903077","negative regulation of protein localization to plasma membrane",23,-0.643989393698554,-1.67489887290354,0.00759878419452888,0.0387908814442442,0.0256386771098146,2512,"tags=57%, list=13%, signal=49%","5525/598/8301/10434/7040/51225/10959/1173/9528/64114/1601/65125/1213"
