"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0040029","GO:0040029","epigenetic regulation of gene expression",184,-0.361771169258781,-1.67660267638791,0.0019723865877712,0.0405829142824114,0.0320866758538448,4436,"tags=34%, list=24%, signal=26%","144108/51742/4221/57683/22893/5987/5253/1111/7157/11240/23347/3192/11091/25879/54784/1017/84944/4204/6688/8520/23558/10664/22955/8356/79813/3070/26155/51548/64855/10432/434/112869/53615/6597/23378/51504/29890/56848/79723/2146/9759/2876/6598/64783/122402/1786/10155/6839/26147/1642/8091/4001/4609/90378/84823/84333/672/4000/55196/29128/55183/546/7175"
"GO:0022411","GO:0022411","cellular component disassembly",471,-0.324650270062299,-1.67589836972527,0.00194174757281553,0.0405829142824114,0.0320866758538448,2493,"tags=26%, list=13%, signal=23%","80183/25851/6720/9645/5579/29904/6811/83743/23401/7043/124045/9349/128866/10154/5119/6597/7040/8775/23130/493856/54543/1471/10767/9793/2314/23557/139341/81624/5756/10211/84305/3396/11140/27341/7443/706/712/9922/65991/11145/6455/11198/4323/9147/56270/55192/81858/164656/23399/5045/3643/8729/23770/7415/2934/6598/6737/10043/23400/6749/26586/10300/3064/51506/344148/5195/7416/545/1524/9821/10533/9948/10399/143244/8673/9927/11331/983/10226/340061/11344/832/6790/5880/146909/3799/55201/1845/8751/1984/22974/11096/51024/10982/718/6604/4609/822/64127/3480/54832/1676/327/292/4035/4241/51375/713/3925/1072/714/1777/3159/51095/5347/11004/81930/2241/7153/324/285590"
"GO:0051651","GO:0051651","maintenance of location in cell",188,-0.359646712077947,-1.67256758135257,0.00194931773879142,0.0405829142824114,0.0320866758538448,4052,"tags=38%, list=22%, signal=30%","25792/57158/10956/3954/3099/3192/29899/2185/6546/3309/9087/581/11315/7226/9651/2512/6672/55151/5331/2548/6622/11013/57338/5905/25777/207/1020/5756/11014/9168/706/10142/3074/80024/5371/400916/642489/1234/811/3710/348/3098/2934/57190/1535/25/3064/9472/1627/2814/11151/11344/8733/5335/10945/580/4669/5333/920/808/9446/7114/2760/54832/375189/23230/55704/309/10345/6280/259266/6279"
"GO:0009165","GO:0009165","nucleotide biosynthetic process",251,-0.348469040443363,-1.67170084839424,0.00198807157057654,0.0405829142824114,0.0320866758538448,3095,"tags=29%, list=17%, signal=24%","515/4860/3614/4722/6622/55312/5165/60490/5465/54539/10606/65220/64834/8833/102157402/8050/7040/1854/9556/65990/6391/4717/23498/32/4723/1841/4726/56848/509/2982/4720/353/54963/5160/3615/516/38/4728/4725/3000/8942/30968/7415/3735/4713/4710/80347/7372/55229/4833/9524/517/84532/6240/6390/506/4716/4696/518/6470/4706/513/142/7114/498/4522/11332/2023/109/9060/6241/7298"
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade",211,0.361929053272557,1.66415470129784,0.00200803212851406,0.0405829142824114,0.0320866758538448,2602,"tags=23%, list=14%, signal=20%","6367/1236/960/5154/1846/6351/6349/6346/55532/2335/3552/634/27330/6369/2149/8837/1490/3358/3553/5151/5159/11221/467/55294/10251/57556/10347/23410/8767/1880/6364/177/2651/6352/171389/673/7162/8622/3383/3156/1411/64170/55333/9590/3624/3491/10818/3123"
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade",233,0.353495821332892,1.65843681916363,0.00196850393700787,0.0405829142824114,0.0320866758538448,2602,"tags=23%, list=14%, signal=20%","6367/1236/960/5154/1846/6351/6349/6346/55532/2335/3552/1906/634/1847/27330/6369/2149/8837/1490/3358/3553/5151/677/5159/11221/467/55294/10251/57556/10347/128239/23410/8767/1880/6364/177/2651/6352/6662/171389/673/7162/8622/3383/3156/1411/64170/55333/9590/3624/3491/10818/3123"
"GO:0051235","GO:0051235","maintenance of location",277,-0.340259536271596,-1.65422073221613,0.00192678227360308,0.0405829142824114,0.0320866758538448,3613,"tags=33%, list=19%, signal=27%","6546/3309/9087/28952/51099/6646/581/11315/7226/9651/2512/161247/6672/55151/8204/5331/2548/6720/6622/11013/10062/440503/5465/57338/5905/29923/25777/207/1020/949/4864/5756/11014/375387/32/9168/51684/706/10142/3074/80024/5371/400916/642489/1234/811/3710/7376/348/3098/2934/57190/8435/3586/10938/1535/25/3064/9472/1627/2814/8694/11151/10226/11344/8733/5335/10945/580/4669/5333/920/808/9446/718/7114/2760/54832/375189/10577/9619/84266/948/23230/55704/309/19/338/10345/6280/259266/6279"
"GO:0030705","GO:0030705","cytoskeleton-dependent intracellular transport",182,-0.357806327969035,-1.65419786803904,0.00196850393700787,0.0405829142824114,0.0320866758538448,2772,"tags=30%, list=15%, signal=26%","1740/3192/4651/89941/26985/23299/63971/4644/4204/84709/10749/80199/388552/23059/7014/351/6794/80173/25777/3798/23557/55330/57560/3916/2319/81/6780/22820/57576/150082/8943/9531/28981/3064/5195/56912/6647/9638/3799/55201/26958/55764/117178/10376/84790/203068/24137/79659/5108/55704/320/55088/667/4744"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process",381,-0.326332204650756,-1.64824876610865,0.00195694716242661,0.0405829142824114,0.0320866758538448,4035,"tags=33%, list=22%, signal=27%","4700/51292/4729/4907/1969/3099/126328/1740/54988/539/4832/4621/387712/2639/9567/83401/8802/481/5515/6576/8801/2475/226/5211/515/4860/3614/4722/3094/6622/51548/5165/6774/60490/4967/5465/54539/10606/65220/64834/54677/351/8833/8050/4354/7040/254552/9556/65990/3704/5230/6391/4717/572/10380/32/4723/8876/4726/56848/509/2982/4720/353/706/221937/26137/5160/7351/3615/5236/5213/9759/516/5315/38/4728/3643/84188/3098/4725/3000/30968/7415/4713/4710/64223/80347/3303/11165/6817/55229/4833/84433/8694/9524/517/84532/8459/6390/506/4716/4696/2584/339123/518/3101/51024/4706/5901/513/3939/142/2821/7114/498/9615/7167/4522/11332/2023/5223/109/215/2597/3479/9060"
"GO:0009259","GO:0009259","ribonucleotide metabolic process",398,-0.324919292681981,-1.64803754356246,0.00196463654223969,0.0405829142824114,0.0320866758538448,4035,"tags=33%, list=22%, signal=27%","4700/51292/4729/4907/1969/3099/126328/1740/54988/539/4832/4621/387712/2639/9567/83401/8802/83549/481/5515/6576/8801/2475/226/5211/515/4860/3614/4722/3094/6622/55312/51548/5165/6774/60490/4967/5465/54539/10606/65220/64834/54677/351/8833/8050/4354/7040/254552/9556/65990/3704/5230/6391/4717/572/10380/32/4723/8876/4726/56848/509/2982/4720/353/706/221937/54963/26137/5160/7351/3615/5236/5213/1807/9759/516/5315/38/4728/3643/84188/3098/4725/3000/30968/7415/4713/4710/64223/80347/7372/3303/11165/6817/55229/4833/84433/8694/9524/517/84532/8459/6390/506/4716/4696/2584/339123/518/3101/51024/4706/5901/513/3939/142/2821/7114/498/9615/7167/4522/11332/2023/5223/109/215/2597/3479/9060"
