"","C08_10_1","C08_10_2","C08_10_3","C08_100_1","C08_100_2","C08_100_3"
"KLHL24",2416.42901511465,2591.53832058532,2723.98680904789,1934.19417476321,1432.99179426119,1796.29306679312
"PA2G4",2652.57612924277,2717.58773436334,2656.92069199544,3495.787846453,3548.73868163297,3544.21199354693
"MCM7",5102.49509872467,5026.92587484862,4641.342785602,6434.98635580876,7029.99575522593,6264.9886255358
"DLL4",130.524950354451,97.8293957680121,91.8713932225257,220.97151422964,247.432562813335,244.020661976085
"SIRT5",455.119892683284,517.366996850064,501.61780699499,276.445534538336,281.834951225884,305.294572692547
"FAM238C",41.2184053750899,66.7873759570082,54.2041220012902,5.54740203086962,5.29267514039219,10.7498088976249
"SLC9A7",1088.85287532529,1165.48674381314,1214.53981840179,816.392665542979,764.791557786672,782.586087747093
"SPINT1",1270.90083239861,1173.01208194914,1149.3111292138,761.843212239428,894.462098726281,699.812559235381
"APAF1",6011.87616731259,6583.73020173381,6698.34327985435,4973.24592067461,4942.03541234121,4728.8409340652
"IFITM3",1209.93194111462,894.57457091711,914.120362564131,1465.43870315472,1639.40612473648,1595.27164040754
"ATG16L2",5826.39334312469,5151.09395409264,4909.60725381177,3334.91318755779,3999.9392373514,3959.15461699525
"SDS",1613.52882707904,1553.04165781719,1382.66446799901,862.621015800226,1112.78494826746,1029.83169239247
"TRIM66",2267.87101240859,2330.03282035929,2231.55614137515,1633.7098980911,1684.39386342982,1722.11938539951
"SNHG3",1709.70510628758,1731.76843854721,1507.60956278165,2230.98018341473,2263.94179130276,2397.20738417035
"TUBA1C",1653.88851567548,1561.50766322019,1728.10090651571,2207.86600828611,2342.00874962355,2229.51036536741
"FNDC3B",1618.68112775093,1527.64364160819,1690.43363529447,1200.08797267813,1046.62650901256,1138.40476225848
"PARP1",6885.19113119731,6704.13561190983,6848.09365080707,8380.2753346337,8810.9809399679,9185.71170302048
"DENND5A",3389.3551253225,3234.9547312134,3469.9825220148,4253.00822366671,4447.17028671454,4629.94269220705
"MMP9",519.523651081862,455.282957228056,350.948722110048,246.859390373698,247.432562813335,185.971693928911
"KCTD7",993.535312895396,1133.50405673514,1132.77427843374,767.390614270297,698.63311853177,723.462138810156
"DUSP4",2868.97275746199,2822.00180100035,2775.4347892525,1964.70488593299,2263.94179130276,1914.540964667
"HNRNPL",6730.62211104072,6474.6127987618,5767.68606651016,8141.73704730631,8572.81055865026,8425.7002139584
"MANBA",3614.3389213282,4090.9619441835,4169.12382443822,3062.16592104003,2814.38000590355,2868.04901388633
"BCO2",456.83732624058,634.950405225078,614.619620658697,336.542389872757,340.054377770198,287.019897566585
"CHML",294.539855076163,406.36825934405,359.217147500075,679.556748781528,527.944345254121,637.463667629157
"MMRN1",603.677895389338,667.873759570082,745.995712966909,1209.33364272958,907.693786577261,1080.3557942113
"NIBAN1",4965.95913091969,5023.16320578062,5143.87930652921,6362.87012940745,6496.75873483142,6476.75986081901
"NPL",2599.33568896661,2752.39242324234,2761.65408026912,2010.00866918509,1755.84497782511,2100.51265859591
