"","WT_10_1","WT_10_2","WT_10_3","C08_10_1","C08_10_2","C08_10_3"
"CD109",7.0159487407172,18.2461870374153,7.86137685197976,148.00276704564,199.785183903885,237.668172841438
"LMNA",61.9742138763352,39.913534144346,86.4751453717774,365.301627332302,377.99731978059,343.196512133968
"RBM3",8778.12119942733,8733.08127078291,9498.50858140455,5056.9037919467,5358.55753822956,5810.48212522002
"IFIT1",686.393651800166,600.983785544868,629.892820264878,197.622191835508,200.723142513763,252.350376569094
"APOE",1136.58369599619,1108.45586252298,850.011372120312,2692.28154851231,2491.21806783436,2068.3554501336
"C5orf63",7.0159487407172,4.56154675935383,7.86137685197976,155.702332961309,168.832549777931,133.975109014865
"UBASH3B",991.587422021364,1105.03470245347,977.758745964983,1869.28350285967,1988.47225294008,2171.13087622719
"ASB2",4338.19497134347,4384.78682242887,4014.21555504216,2595.60922090446,2244.53495343661,2116.07261224848
"TXNRD2",1089.8107043914,1312.58508000407,1122.21154562011,0,0.937958609877395,0
"FKBP4",1303.79714098328,1451.71225616436,1248.97624735828,2477.54921019754,2382.41486908858,2426.23416599522
