"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3"
"SCARB2",3418.71921619088,3115.20503258509,2936.34216151595,1581.17971711904,1734.79432326666,1765.51905646123
"TACSTD2",6745.30273719363,7955.68949418481,8028.10759366991,4390.4601853985,4406.31772620403,4225.89412735045
"HSPA8",29570.7089082723,33116.7175485002,32887.9035271275,19964.8245446979,20904.3214744409,19942.7116022094
"PSTPIP2",3699.00569944738,3312.40995509471,3291.4043071592,5819.15072591512,5581.46879739904,6075.69027467051
"POU2F2",6014.03627222684,6447.6518514642,6237.54879784935,9838.1104340876,9521.91593765395,9534.49088114253
"COL8A2",701.201132852767,691.799086450853,698.143666740254,1401.05827361551,1433.52469380919,1342.41366153725
"IGFBP4",1441.19624262685,1621.93139475825,1718.67504854309,791.101567205837,783.101520278507,746.454233321161
"CD109",243.432205181251,138.148902934545,156.837266787202,6.1405037558021,15.9613048719186,6.87976251908904
"NFKBIZ",2541.97533776916,2497.22597060308,2422.26445371346,3964.71859166289,4024.24399083248,4078.83920350492
"UBASH3B",1781.61339011139,1759.02572591467,1665.306811928,867.857864153363,966.656526305572,855.6704633117
"EPAS1",331.688502677243,370.154694122331,313.674533574404,65.4987067285557,87.7871767955524,50.7382485782817
"IGFBP3",313.261363639618,363.827263453573,356.151293329271,39.9132744127136,40.9008437342915,84.2770908588408
"ST14",4977.2672390047,5984.69484086675,5989.22312543628,3292.33343040256,2975.78577705833,2710.62643252108
"MTUS1",2852.32715313968,2685.99431888769,2713.06688588139,4285.04820425723,4523.03476807994,4684.25830518475
"OLFML3",16064.5858431165,17760.043315425,17722.6111469538,11234.0516212399,11376.42004746,10857.1252254374
"P2RX1",508.201097669225,609.542487757001,559.82191061543,1170.78938277293,1465.44730355303,1234.91737217648
"INPP4B",1817.4978187636,1360.39759378293,1540.05482803544,710.251601087776,667.382059957097,731.834737968097
"RNF213",12796.1932874957,13167.383221685,12673.3224745548,8758.40519035906,8750.78539602939,8804.3760838042
"LRP1",13655.4798763029,15530.678576466,13977.0322547234,9313.09736296652,9072.00665657675,8521.44585020667
"CXCL16",1309.29672109438,1493.27363782684,1491.04318216444,2498.16161131882,2633.61530386657,2534.33251796943
"ANXA6",2933.79450467444,3206.95277728208,3130.21044962791,1793.02709669421,1860.48959913301,1867.85552393268
"SLC16A7",1065.86451591313,840.493707166661,819.039059888722,353.078965958621,364.117267390644,373.227116660581
"PXDN",628.462426125302,700.235660675863,581.604864335875,1339.65323605749,1284.88504218945,1286.51559106965
"NPL",2758.25175910549,2667.01202688141,2479.98928107263,1477.81457056304,1199.09302850289,1467.10935719574
"ACP5",1324.8143118629,1696.80599100522,1593.42306465053,693.876924405637,780.108775615023,672.496786240954
