"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.0352288300272853,31,702,5,0.00712250712250712,0.161290322580645,"GO:0019082","GO:BP","viral protein processing",21017,5572,"TAS,TAS,TAS,TAS,TAS","MGAT5,CSNK1A1,MGAT1,GALNT1,FURIN","MGAT5,CSNK1A1,MGAT1,GALNT1,FURIN","ENSG00000152127,ENSG00000113712,ENSG00000131446,ENSG00000141429,ENSG00000140564","GO:BP - viral protein processing"
"query_1",TRUE,0.0352987251724115,59,702,7,0.00997150997150997,0.11864406779661,"GO:0099024","GO:BP","plasma membrane invagination",21017,19012,"TAS IEA,ISS,ISS,IEA,IEA,TAS,IMP IBA","CD36,RAB31,ANO6,ABCA1,CLCN3,DOCK1,SNX33","CD36,RAB31,ANO6,ABCA1,CLCN3,DOCK1,SNX33","ENSG00000135218,ENSG00000168461,ENSG00000177119,ENSG00000165029,ENSG00000109572,ENSG00000150760,ENSG00000173548","GO:BP - plasma membrane invagination"
"query_1",TRUE,0.0360557285359143,145,702,12,0.0170940170940171,0.0827586206896552,"GO:0050921","GO:BP","positive regulation of chemotaxis",21017,13363,"IEA,IMP IBA,IMP,IDA,IEA,ISS IEA,IDA IEA,IMP,IEA,IMP,IDA ISS IEA,IEA","CX3CR1,CMKLR1,WNK1,PLA2G7,C3AR1,NRP1,CCR1,ANO6,BMPR2,ADAM10,CCR2,SUCNR1","CX3CR1,CMKLR1,WNK1,PLA2G7,C3AR1,NRP1,CCR1,ANO6,BMPR2,ADAM10,CCR2,SUCNR1","ENSG00000168329,ENSG00000174600,ENSG00000060237,ENSG00000146070,ENSG00000171860,ENSG00000099250,ENSG00000163823,ENSG00000177119,ENSG00000204217,ENSG00000137845,ENSG00000121807,ENSG00000198829","GO:BP - positive regulation of chemotaxis"
"query_1",TRUE,0.0362370443331535,75,702,8,0.0113960113960114,0.106666666666667,"GO:1903036","GO:BP","positive regulation of response to wounding",21017,22716,"IEA,IDA,IEA,IMP,IEA,IEA,NAS,IDA","FLNA,ITGB1,CD36,ANO6,STK24,ATP7A,PLAU,HPSE","FLNA,ITGB1,CD36,ANO6,STK24,ATP7A,PLAU,HPSE","ENSG00000196924,ENSG00000150093,ENSG00000135218,ENSG00000177119,ENSG00000102572,ENSG00000165240,ENSG00000122861,ENSG00000173083","GO:BP - positive regulation of response to wounding"
"query_1",TRUE,0.0376159267683579,224,702,16,0.0227920227920228,0.0714285714285714,"GO:1902115","GO:BP","regulation of organelle assembly",21017,22028,"IDA,IMP,IMP,ISS IEA,IMP IBA,IMP,IMP,IMP,IMP,IDA,IMP,IEA,IDA,IMP,IMP,IEA","CNOT1,SMCR8,DYNC1H1,ARHGAP35,TBC1D14,LCP1,SEPTIN9,G3BP2,SNX30,TRIM32,CNOT6L,IL1RAP,EPHB2,PINK1,CDKL5,ARHGEF5","CNOT1,SMCR8,DYNC1H1,ARHGAP35,TBC1D14,LCP1,SEPTIN9,G3BP2,SNX30,TRIM32,CNOT6L,IL1RAP,EPHB2,PINK1,CDKL5,ARHGEF5","ENSG00000125107,ENSG00000176994,ENSG00000197102,ENSG00000160007,ENSG00000132405,ENSG00000136167,ENSG00000184640,ENSG00000138757,ENSG00000148158,ENSG00000119401,ENSG00000138767,ENSG00000196083,ENSG00000133216,ENSG00000158828,ENSG00000008086,ENSG00000050327","GO:BP - regulation of organelle assembly"
"query_1",TRUE,0.0376483369125274,10,702,3,0.00427350427350427,0.3,"GO:1990504","GO:BP","dense core granule exocytosis",21017,25187,"ISS IBA,IEA,IEA","UNC13B,STXBP1,CADPS2","UNC13B,STXBP1,CADPS2","ENSG00000198722,ENSG00000136854,ENSG00000081803","GO:BP - dense core granule exocytosis"
"query_1",TRUE,0.0376483369125274,671,702,36,0.0512820512820513,0.0536512667660209,"GO:0031344","GO:BP","regulation of cell projection organization",21017,7135,"IEA,ISS IBA IEA,IEA,IDA ISS,IBA,ISS,IMP ISS IBA IEA,ISS IEA,ISS IEA,ISS,IDA,IMP ISS IBA IEA,ISS IEA,IMP,IEA,IMP IEA,IEA,ISS IBA,IDA,IEA,IEA,IDA,IEA,IDA ISS,IEA,IEA,ISS,IDA,IDA,IBA,IMP IBA,IMP ISS IBA,ISS IEA,IEA,ISS IEA,IEA","FLNA,ARHGAP35,NIN,MACF1,PLXNC1,PPP1R16B,DOCK11,DIP2B,MYCBP2,SCARB2,SETX,NRP1,CERS2,SEPTIN9,TGFBR1,STK24,WASHC5,TANC2,CAMK1,ATP7A,BMPR2,TRIM32,SPART,RAPGEF2,EPHB2,TMEM106B,MYO9A,KIF13B,TNIK,PLXNA2,PLD1,CDKL5,SARM1,NEO1,SERPINI1,PLS1","FLNA,ARHGAP35,NIN,MACF1,PLXNC1,PPP1R16B,DOCK11,DIP2B,MYCBP2,SCARB2,SETX,NRP1,CERS2,SEPTIN9,TGFBR1,STK24,WASHC5,TANC2,CAMK1,ATP7A,BMPR2,TRIM32,SPART,RAPGEF2,EPHB2,TMEM106B,MYO9A,KIF13B,TNIK,PLXNA2,PLD1,CDKL5,SARM1,NEO1,SERPINI1,PLS1","ENSG00000196924,ENSG00000160007,ENSG00000100503,ENSG00000127603,ENSG00000136040,ENSG00000101445,ENSG00000147251,ENSG00000066084,ENSG00000005810,ENSG00000138760,ENSG00000107290,ENSG00000099250,ENSG00000143418,ENSG00000184640,ENSG00000106799,ENSG00000102572,ENSG00000164961,ENSG00000170921,ENSG00000134072,ENSG00000165240,ENSG00000204217,ENSG00000119401,ENSG00000133104,ENSG00000109756,ENSG00000133216,ENSG00000106460,ENSG00000066933,ENSG00000197892,ENSG00000154310,ENSG00000076356,ENSG00000075651,ENSG00000008086,ENSG00000004139,ENSG00000067141,ENSG00000163536,ENSG00000120756","GO:BP - regulation of cell projection organization"
"query_1",TRUE,0.0376483369125274,308,702,20,0.0284900284900285,0.0649350649350649,"GO:0046651","GO:BP","lymphocyte proliferation",21017,12287,"IDA,IEA,IEA,IDA,IDA,IEA,IEA,IBA IEA,IEA,IEA,ISS IEA,IMP,IMP,IEA,IMP,IEA,IEA,ISS IBA IEA,IEA,ISS IBA","GPNMB,LIPA,CTNNB1,TGFBR2,TFRC,DOCK2,TLR4,CD180,CDKN1A,PLCL2,CCR2,EPHB2,VAV3,ARG2,LGALS3,SPTA1,GPAM,TNFRSF21,IL7R,TNFSF4","GPNMB,LIPA,CTNNB1,TGFBR2,TFRC,DOCK2,TLR4,CD180,CDKN1A,PLCL2,CCR2,EPHB2,VAV3,ARG2,LGALS3,SPTA1,GPAM,TNFRSF21,IL7R,TNFSF4","ENSG00000136235,ENSG00000107798,ENSG00000168036,ENSG00000163513,ENSG00000072274,ENSG00000134516,ENSG00000136869,ENSG00000134061,ENSG00000124762,ENSG00000154822,ENSG00000121807,ENSG00000133216,ENSG00000134215,ENSG00000081181,ENSG00000131981,ENSG00000163554,ENSG00000119927,ENSG00000146072,ENSG00000168685,ENSG00000117586","GO:BP - lymphocyte proliferation"
"query_1",TRUE,0.0376483369125274,10,702,3,0.00427350427350427,0.3,"GO:0031666","GO:BP","positive regulation of lipopolysaccharide-mediated signaling pathway",21017,7270,"IMP,IGI IBA IEA,IMP","PRKCA,CD180,SASH1","PRKCA,CD180,SASH1","ENSG00000154229,ENSG00000134061,ENSG00000111961","GO:BP - positive regulation of lipopolysaccharide-mediated signaling pathway"
"query_1",TRUE,0.0376483369125274,10,702,3,0.00427350427350427,0.3,"GO:0030644","GO:BP","intracellular chloride ion homeostasis",21017,6871,"IEA,IEA,ISS TAS","WNK1,KCNE3,SLC12A2","WNK1,KCNE3,SLC12A2","ENSG00000060237,ENSG00000175538,ENSG00000064651","GO:BP - intracellular chloride ion homeostasis"
