"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.0258573998930286,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:7179","CORUM","GNAS-L-GNB5-GNG8 complex",3383,2668,"CORUM","GNG8","GNG8","ENSG00000167414","CORUM - GNAS-L-GNB5-GNG8 complex"
"query_1",TRUE,0.0258573998930286,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:7178","CORUM","GNAS-L-GNB4-GNG8 complex",3383,2667,"CORUM","GNG8","GNG8","ENSG00000167414","CORUM - GNAS-L-GNB4-GNG8 complex"
"query_1",TRUE,0.0258573998930286,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:2956","CORUM","PLC-gamma-1-LAT-c-CBL complex, OKT3 stimulated",3383,1308,"CORUM","LAT","LAT","ENSG00000213658","CORUM - PLC-gamma-1-LAT-c-CBL complex, OKT3 stimulated"
"query_1",TRUE,0.0258573998930286,2,19,1,0.0526315789473684,0.5,"CORUM:2957","CORUM","LAT-GRB2 complex, Fyn-mLck(KA) or Syk kinase activated",3383,1309,"CORUM","LAT","LAT","ENSG00000213658","CORUM - LAT-GRB2 complex, Fyn-mLck(KA) or Syk kinase activated"
"query_1",TRUE,0.0258573998930286,2,19,1,0.0526315789473684,0.5,"CORUM:5375","CORUM","EGR-EP300 complex",3383,1655,"CORUM","EGR1","EGR1","ENSG00000120738","CORUM - EGR-EP300 complex"
"query_1",TRUE,0.0258573998930286,2,19,1,0.0526315789473684,0.5,"CORUM:6144","CORUM","CENP-T-W complex",3383,1925,"CORUM","CENPT","CENPT","ENSG00000102901","CORUM - CENP-T-W complex"
"query_1",TRUE,0.0258573998930286,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:6149","CORUM","Codanin-1-Asf1–histone H3.1-histone H4–importin-4 complex,  cytosolic",3383,1930,"CORUM","IPO4","IPO4","ENSG00000196497","CORUM - Codanin-1-Asf1–histone H3.1-histone H4–importin-4 complex,  cytosolic"
"query_1",TRUE,0.0258573998930286,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:6235","CORUM","c-Fos-c-Jun-SAF-1 complex",3383,1993,"CORUM","FOS","FOS","ENSG00000170345","CORUM - c-Fos-c-Jun-SAF-1 complex"
"query_1",TRUE,0.0258573998930286,2,19,1,0.0526315789473684,0.5,"CORUM:6371","CORUM","mGluR3-mGluR8 complex",3383,2086,"CORUM","GRM3","GRM3","ENSG00000198822","CORUM - mGluR3-mGluR8 complex"
"query_1",TRUE,0.0258573998930286,2,19,1,0.0526315789473684,0.5,"CORUM:6369","CORUM","mGluR3-mGluR4 complex",3383,2084,"CORUM","GRM3","GRM3","ENSG00000198822","CORUM - mGluR3-mGluR4 complex"
"query_1",TRUE,0.0258573998930286,2,19,1,0.0526315789473684,0.5,"CORUM:6370","CORUM","mGluR3-mGluR7 complex",3383,2085,"CORUM","GRM3","GRM3","ENSG00000198822","CORUM - mGluR3-mGluR7 complex"
"query_1",TRUE,0.0258573998930286,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:7071","CORUM","GNAI1-GNB1-GNG8 complex",3383,2568,"CORUM","GNG8","GNG8","ENSG00000167414","CORUM - GNAI1-GNB1-GNG8 complex"
"query_1",TRUE,0.0258573998930286,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:6439","CORUM","SCNN1B-SCNN1G-SCNN1D complex",3383,2128,"CORUM","SCNN1D","SCNN1D","ENSG00000162572","CORUM - SCNN1B-SCNN1G-SCNN1D complex"
"query_1",TRUE,0.0258573998930286,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:6737","CORUM","H2A-H2B-TDIF2-PCNA complex",3383,2344,"CORUM","H2BC21","H2BC21","ENSG00000184678","CORUM - H2A-H2B-TDIF2-PCNA complex"
"query_1",TRUE,0.0258573998930286,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:6794","CORUM","LPAR2-TRIP6-NHERF2 complex, LPA stimulated",3383,2376,"CORUM","LPAR2","LPAR2","ENSG00000064547","CORUM - LPAR2-TRIP6-NHERF2 complex, LPA stimulated"
"query_1",TRUE,0.0258573998930286,3,19,1,0.0526315789473684,0.333333333333333,"CORUM:6250","CORUM","LPA(2)-NHERF2-PLC-beta3 complex",3383,2005,"CORUM","LPAR2","LPAR2","ENSG00000064547","CORUM - LPA(2)-NHERF2-PLC-beta3 complex"
"query_1",TRUE,0.0258573998930286,1,19,1,0.0526315789473684,1,"CORUM:2913","CORUM","PLC-gamma-2-LAT complex",3383,1285,"CORUM","LAT","LAT","ENSG00000213658","CORUM - PLC-gamma-2-LAT complex"
"query_1",TRUE,0.0258573998930286,2,19,1,0.0526315789473684,0.5,"CORUM:2695","CORUM","ETS2-FOS-JUN complex",3383,1133,"CORUM","FOS","FOS","ENSG00000170345","CORUM - ETS2-FOS-JUN complex"
"query_1",TRUE,0.0258573998930286,2,19,1,0.0526315789473684,0.5,"CORUM:2798","CORUM","MMP-2-CLDN1 complex",3383,1202,"CORUM","CLDN1","CLDN1","ENSG00000163347","CORUM - MMP-2-CLDN1 complex"
"query_1",TRUE,0.0258573998930286,2,19,1,0.0526315789473684,0.5,"CORUM:7177","CORUM","GNAS-L-GNB3-GNG8 complex",3383,2666,"CORUM","GNG8","GNG8","ENSG00000167414","CORUM - GNAS-L-GNB3-GNG8 complex"
