"","C08_V_1","C08_V_2","C08_V_3","C08_100_1","C08_100_2","C08_100_3"
"KIAA1586",438.273480497784,385.041153978684,533.524437378628,576.687732800251,501.12697300153,499.599082013902
"PZP",11.644947549458,10.5490727117448,2.34516236210386,1.51759929684277,2.16938083550446,3.54325590080781
"BPGM",273.126951614561,346.009584945228,283.764645814567,347.530238976993,376.387574960024,341.924194427954
"PSMA5",2372.39340530322,2358.77265834613,2095.4025705398,2431.95287319053,2478.51760456384,2480.27913056547
"AQP8",9.52768435864749,0,0,0,0,0
"BNIP3P22",9.52768435864749,0,0,0,0,0
"STRCP1",9.52768435864749,0,0,0,0,0
"TMEM208",647.882536388029,677.250468094014,576.909941077549,504.601766200219,602.003181852488,566.92094412925
"TARS3",287.947793950235,269.001354149491,216.927518494607,277.720671322226,326.491815743421,324.207914923915
"LINC01772",42.3452638162111,51.6904562875493,106.704887475726,44.7691792568616,19.5244275195401,59.3495363385309
"KIAA0319",0,0,25.7967859831425,0,0,0
"SGTA",1629.23402532872,1674.13783935389,1559.53297079907,1645.83643742598,2097.79126793281,1655.58631965245
"MUSTN1",0,2.10981454234895,0,2.27639894526415,8.67752334201784,3.54325590080781
"CDK20",104.804527945122,75.9533235245623,52.7661531473368,51.598376092654,58.5732825586204,53.1488385121172
"CSRNP1",534.608955679665,616.065846365894,548.767992732303,559.235340886559,668.169297335374,721.05257581439
"TRAPPC12-AS1",37.0521058391847,31.6472181352343,11.7258118105193,18.2111915621132,6.50814250651338,15.9446515536352
"KICS2",255.130214492672,242.628672370129,211.064612589347,312.62545514961,239.716582323243,300.290937593462
"CPE",0,8.43925816939581,16.416136534727,24.2815887494842,21.6938083550446,14.1730236032313
"DGKQ",1419.62496943848,1361.88528708625,1144.43923270668,1025.13832501729,1400.33532931813,1031.97328111028
"DNAH17-AS1",4.23452638162111,6.32944362704686,1.17258118105193,3.79399824210691,19.5244275195401,11.5155816776254
"DTYMK",647.882536388029,650.877786314652,673.061597923808,657.879295181339,810.263742060916,760.028390723276
