"gene","AD_logFC","AD_padj","AD_label","AD_drug_logFC","AD_drug_padj","AD_drug_label"
"RBM22P2",2.28265502409412,0.0294706088950074,"up",-6.32859418540693,3.22280106158705e-05,"down"
"CPB2",2.7111648942353,0.0297511356071476,"up",-4.88931188868861,0.00144187295934436,"down"
"MIR1244-3",2.0695277716733,0.0300767770421892,"up",-1.70335993652837,0.0313771445807374,"down"
"RPL32P16",1.93291460639681,0.0303498674507407,"up",-1.84563709160394,0.0237522672713868,"down"
"MRS2P2",4.14047209401718,0.0303861763679246,"up",-3.8586994913773,4.61265131462534e-07,"down"
"FOXP1-IT1",1.99432942869096,0.0306112094397216,"up",-1.7950154235852,0.0280738267013812,"down"
"UBA52P8",-2.73627795896188,0.0307220741552637,"down",2.96643919579431,0.00908657358261767,"up"
"PRSS16",-1.87867514432765,0.0311333077380403,"down",2.13339942589167,0.00552604946085078,"up"
"EEF1A1P30",2.40279824416737,0.0319809612193661,"up",-3.13655815082094,0.00694858492236551,"down"
"RNA5SP78",2.74053393692382,0.0325439167952311,"up",-2.90431557131926,0.0224454028577267,"down"
"SNORA70B",4.94741502036808,0.033204559500373,"up",-5.33170796601021,0.0173144628080739,"down"
"UPK3BL2",1.89060837194167,0.0334887806079345,"up",-2.11622569939921,0.0115727611578097,"down"
"BMS1P2",-2.02098488689869,0.0336720007668785,"down",2.88375619226264,6.36109545838715e-05,"up"
"EEF1A1P3",3.27712735175919,0.0337148728747101,"up",-2.96958005164972,1.40832461698865e-14,"down"
"KLF15",-2.22198323631191,0.0340455767469318,"down",2.22378800146824,0.0305774102502024,"up"
"CEBPB-AS1",1.70018395204108,0.0349198831882394,"up",-2.02529093570037,0.011015405821304,"down"
"HNRNPA1P76",3.42460448118495,0.0360757411292252,"up",-4.40417490805963,0.0123589099003022,"down"
"SNORA16B",2.20222633777104,0.0371592962093527,"up",-2.12370242516521,0.0318066406990765,"down"
"EHD3",-4.86710430963027,0.0372057000538653,"down",5.35119422662301,0.00562342275624105,"up"
"SRGAP2-AS1",1.76335962739689,0.0375239972997689,"up",-2.50049753834957,0.00109428237167722,"down"
"PIK3CD-AS2",1.53526983214449,0.0378176644221482,"up",-2.853726655125,0.00102615884382615,"down"
"CASKIN2",-2.44632142761048,0.0378704245029205,"down",3.31851488451551,0.000259637016934978,"up"
"TTC39A",2.25022365405312,0.0379999455611617,"up",-2.14315625529709,0.0224511601863885,"down"
"KIF12",2.16744048095581,0.0389889506656249,"up",-1.85057919869847,0.0434644553042526,"down"
"ARHGEF35-AS1",-2.30618572292238,0.0394214724443159,"down",2.53778195996079,0.0154768531086051,"up"
"PRG2",4.29999341390037,0.0397047497969742,"up",-4.68447836253716,0.0210820878389783,"down"
"RNU6-742P",4.93781488151976,0.0399681753220512,"up",-5.32242159611794,0.0218037013349581,"down"
"CRYBG2",1.54952400052936,0.0401876157101266,"up",-2.98151918112747,0.000392255059321968,"down"
"C6orf132",2.50472677282716,0.0409469960456089,"up",-2.30038944292496,0.0458311885628352,"down"
"RNU6-137P",3.78920400604057,0.0410155962694137,"up",-3.55317583587051,0.0277380949941845,"down"
"NUDCP1",2.51689104842026,0.0412130456158596,"up",-2.11261303861774,0.035308667082294,"down"
"RNF14P3",1.69971188026798,0.0419469359362155,"up",-1.70138920499338,0.034071469621833,"down"
