"","WT_V_1","WT_V_2","WT_V_3","C08_V_1","C08_V_2","C08_V_3"
"TMLHE",308.358230630162,279.890293649028,299.334192344032,169.581141620953,110.300120359365,159.516804188212
"ATP5PB",5885.0869129927,6038.58548508771,6777.35936152623,5091.49607238,4702.42806706394,4847.28880332489
"TOMM70",2431.82513701514,2182.00188110059,2231.22131530124,1639.96133962778,1811.35060039691,1707.50381947945
"MARK2P8",10.5122124078464,12.376101419855,11.8158233820013,48.741885016801,46.5486746470715,98.8554842856524
"ZMYM2",2677.98611089888,2167.72176407768,2380.88841147326,3066.67693230706,3245.25216506866,3430.73464782253
"CD109",219.880442864121,124.713022000077,141.789880584015,0,10.1192770971895,8.98686220778658
"STRAP",3179.0682356729,2983.59244998658,3049.46708450483,2302.038611106,2546.01011765287,2182.68415871617
"FBXO7",2999.48460703885,2961.69627055145,3150.88623520034,2453.34154584565,2396.24481661446,2222.00168087523
"MFSD8",996.032125643451,738.758053985191,707.964750971576,1225.65531698498,1427.82999841343,1176.15559144407
"ARID2",1576.83186117697,1334.71493774129,1260.35449408013,982.96134783882,900.615661649862,1007.65192504807
"CYB561D1",823.456638614638,843.478912153195,915.726312105098,613.335386461413,589.953854766146,554.938741330821
"LARP1B",524.734602691668,421.739456076597,441.124072928047,692.540949613714,745.790722062863,714.455545519033
"TMEM138",1486.60203800962,1697.42991012319,1745.78790469069,2357.88868768775,2169.57300963742,2136.62648990126
"PFAS",1054.72531158726,1143.3613696343,1111.67204985662,1594.26582242453,1599.85770906565,1383.97677999913
"CHIC1",850.613187334908,625.469125603441,655.77819770107,465.07881953531,403.75915617786,434.739459301676
"LAMB3",72.7094691542712,111.384912778695,55.1405091160059,14.2163831299003,24.2862650332547,10.1102199837599
"EVL",8554.31284688504,9901.83314368553,9623.00349269153,12135.7139132456,11425.6757704366,11695.2778056583
"VRK3",757.755311065598,845.382927756249,892.094665341095,585.918076139462,485.725300665094,565.048961314581
"SFMBT1",663.14539939498,583.58078233624,668.578673031571,387.904168258708,369.353614047415,450.466468165302
"APRG1",24.5284956183084,13.3281092213823,32.4935143005035,69.0510037738014,91.0734938747052,128.062786460959
"CCNB1",1526.02283453904,1503.22031861162,1631.56827866467,1085.52239756167,1082.76264939927,1227.83004913884
"SMOC1",120.01442498958,205.633685129898,137.851272790015,61.9428122088513,58.6918071636989,42.6875954869863
"LRP2BP",41.1728319307319,23.8001950381827,41.3553818370044,117.792888790602,109.288192649646,106.718988717466
"CARS2",989.02398403822,1153.8334554511,1007.29894331561,1434.83924018208,1502.71264893264,1426.66437548612
"HLA-C",3452.3857582769,4252.61884942248,4067.59719925394,2970.20861821131,2979.11517741258,2945.44408860205
"CMAHP",148.046991410504,90.4407411450942,101.419150695511,220.353938513455,284.351686431024,250.508784042051
"U2AF1",326.754602343894,187.54553690088,193.976433854521,392.981447947958,467.510601890153,644.807363408687
