"","WT_V_1","WT_V_2","WT_V_3","C08_V_1","C08_V_2","C08_V_3"
"FOS",3068.69000539051,3340.59537555932,3394.09526647986,20937.6859825296,20591.7169650708,21651.5977741098
"HSPA8",26709.7796929365,29895.900991362,29732.5502369092,4915.82219513195,4669.03445264322,4286.7332731142
"ATP1A1",8092.65151864045,8276.75582647841,8633.42828444892,1308.92270388868,1329.6730105707,1164.92201368434
"EGR1",839.224957226408,882.511232015814,973.820777066604,5582.97674629942,6148.47276425232,5994.23709259365
"GPNMB",4945.1199201911,5036.12127007946,5036.49471657804,747.375570257615,684.063131770008,595.379621265861
"EIF3L",7536.38027872525,7659.85477108872,7609.39025800881,1812.58884906229,1913.55529907853,1761.42499272617
"PDIA6",4131.29947628365,4343.05959056758,4202.49451619845,784.947439958066,703.289758254668,770.623434317699
"SYT2",7299.8554995487,7577.98210015737,7391.78217739029,1528.26118646428,1260.86192630981,1310.95852456087
"A2M",42457.9498975911,46898.7603266398,46110.2660963114,12430.1961352221,12056.1067335915,11249.3047685969
"NEAT1",5748.4281516907,5337.90774316362,5724.76642857961,18118.7802990579,17955.645281253,17880.4857201674
"SRA1",3588.16850187825,3982.24863378873,3827.34212381991,13686.3151303426,13710.608538982,13085.9947323132
"DUSP1",1706.48248087374,1916.39170447447,1758.58838002119,7107.1761090123,7469.03842543554,7547.84089676475
"PSAP",206270.631866763,228194.366010493,230263.812112595,69636.9218499409,68153.331249571,65344.5984705922
"FCGBP",342663.083787768,384023.76300349,346465.542510938,112551.105239421,108904.672047663,105904.554329885
"CNOT1",8511.387979553,8401.46884847849,8722.04695981393,2579.25808213905,2489.34216590861,2496.10097821272
"PRKDC",12442.0794023869,11763.9604034729,11860.1327196838,3721.64601222033,3912.11252577345,3862.10403379628
"ABHD2",3221.11708530428,2995.01654360491,2759.9794116458,495.54249767081,483.701445245656,525.731439155515
"IER2",765.639470371483,899.647372443306,882.248145856094,4488.31524529709,4102.35493520061,4630.48075256204
"GNS",6806.65753408057,6569.80583833995,6468.17864969719,1970.99997536689,1946.94891349925,1953.51917241761
"MRC1",1646.91327722928,1674.58172288653,1739.87999299969,196.998451942904,232.743373235358,215.684692986878
"FLNA",5127.3316019271,5883.40821343876,5869.51026500913,1348.52548546483,1191.0389143392,1162.67529813239
"POU2F2",5432.18576175465,5820.57569853796,5639.1017090601,15554.7540559866,15510.827934572,16360.5826492755
"PLXDC2",27125.0120830464,25197.7424908248,24330.7496474376,9060.91333343574,8927.22625514054,9125.0352142313
"SLC31A1",7757.13673929002,7246.68338522587,7151.52710195627,2392.41418957465,2278.86120228707,2279.29292744987
"GOLGA8A",2427.44504851188,2141.06554563491,1986.04298012471,8171.37393187912,8900.91613468785,9041.90673880927
"PECAM1",8990.56966181067,8998.37774003611,9330.561863987,3323.58728458312,3188.5842133244,3222.91345926746
"ARHGEF12",2632.43319046488,2468.55622936031,2489.20012580827,435.630597337659,369.353614047415,481.920485892555
"CCNL2",3882.51044929795,3499.58067841438,3513.23815224838,10773.9875005887,11098.8231201974,11515.5405615025
"RGS1",830.464780219869,723.525929160754,708.949402920076,3307.33998957752,3710.73891153938,3411.63756563098
"CD163",4519.37531767332,4418.26820688823,4663.3116280965,1207.37711010367,996.748794073162,1012.14535615196
"MYO15B",1789.70416243586,2148.68160804713,2116.01703732673,7661.61505107841,7493.3246904688,7268.1248105474
"MIR503HG",1125.68274534022,1173.82561928317,1086.07109919562,4024.25188169963,3850.38493548059,3921.64199592287
"CLTC",20982.3759660615,18965.899422027,19462.6304140531,6934.54859957779,7309.15384729995,6780.58753577497
"MGAT5",4481.7065565452,4843.81569417094,4656.419064457,1205.34619822797,1139.43060114353,973.951191768871
"IQGAP1",20330.618796775,19301.0061681646,19418.3210763706,7569.20856073406,7808.03420819139,7969.10006275475
"FGD5",3095.84655411078,3662.37401247555,3343.87801710636,807.287470590767,794.363252129373,786.350443181326
"CTDSP2",6711.1716047093,7014.3934816532,6765.54353814422,2462.4806492863,2504.52108155439,2438.80973163808
"CX3CR1",22226.32110099,22603.5212316629,23297.849753461,9629.56865863175,9747.89962772261,9617.06592010761
"TSC22D3",928.578762693103,821.582732718067,940.342610817601,3456.61201244147,3445.61385159301,3298.17843025768
"CYBB",69339.4290598558,62254.6461652752,60791.426648448,24539.5081940836,23755.0029856523,24103.8877990596
"SMCR8",3331.49531558667,3658.56598126944,3323.20032618786,962.65222908182,898.591806230424,905.426367434498
"LRP1",12334.3292252065,14020.2188930927,12636.0384551019,4571.58263220079,4599.21144067261,4574.31286376337
"LENG8",4808.4611588891,5326.48364954529,5383.09220245008,14718.0183631982,13885.6720327634,14603.6510876532
"EEF1A1P5",14922.085512938,15481.5508684371,19942.1559129726,3994.80365950198,3797.76469457521,4016.00404910463
"DYNC1H1",10090.8478938319,10542.5343941134,10296.5054254656,4132.90566704958,4131.70083878246,4037.34784684812
"LIPA",12424.5590483738,11312.708705549,11518.4584935542,3701.33689346333,4170.15409175178,4051.95149793577
"ABCC4",12132.8451540561,11598.3110460072,11293.9578492962,4275.06949834859,4482.83975405493,4551.8457082439
"NOTCH2",3383.18035992525,3474.82847557467,3249.35143005035,976.86861221172,1005.85614346063,962.717614009137
"NDRG1",4618.3653178472,5075.15358994208,4694.8204904485,1499.82842020448,1420.7465044454,1535.63007975553
"CMKLR1",4474.69841493997,4850.47974878163,4710.5749216245,1476.47293363393,1280.08855279447,1325.56217564852
"EPB41L2",9067.65921946821,8096.82635198975,8550.71752077492,2899.12670256181,2833.39758721305,3092.60395725456
"PARP4",6734.82408262696,6470.79702698111,6549.9047614227,2448.2642661564,2537.91469597512,2412.9725027907
"TLN1",29748.6850965048,33333.6011626772,31998.2343704079,12774.4356981533,12616.7146847758,11995.2143318431
"HYOU1",4252.18991897389,4857.14380339232,4594.38599170149,1183.00616759527,909.723011037333,1077.30010715842
"SEL1L",5345.46000938992,4725.76672678156,4970.52303602853,1619.65222087078,1506.76035977151,1612.01840852172
"NCOA4",21048.0772936105,20223.5017278446,20319.2776092482,8796.89478959473,9241.93577286314,8782.41109255944
"HADHA",11472.3278077631,11025.2023494878,11747.8823975548,4697.4991684942,4683.20144057928,4810.21799671777
"ARHGAP35",6055.03434691955,6438.42876172918,6180.66028073516,2326.4095536144,2184.7519252832,2338.83088957646
"TLR7",8316.91205000785,7441.84498453897,7807.30529965734,2968.17770633561,2906.25638231281,2936.45722639427
"ALOX5AP",40008.6044065629,43851.3833539508,48219.3905699987,16209.7231358999,15979.3504641719,15238.3482310781
"APBB3",3026.64115575912,3691.8862543229,3636.31964581089,10923.2595234527,10811.4356506372,10425.8835188084
"PLEKHB2",8756.67293573609,8470.96541798998,8387.2652973239,3527.69392809097,3567.04517675929,3384.67697900762
"GLB1",3687.15850205214,3922.27214229251,3913.99149528792,1315.01543951578,1245.68301066402,1200.86946251548
"FKBP11",649.129116184518,532.172361053765,551.405091160059,2453.34154584565,2368.92276845205,2365.79147619982
"TRIP12",11914.7167465933,11828.6969339768,11171.8610076822,4996.0432142221,4924.04023549239,4802.35449228595
"AHSA2P",2276.77000399941,2299.09884068845,2483.29221411727,6490.79435473733,6266.86830628943,6885.05980894049
"WNK1",13164.7940054264,13148.1797468936,12854.6311876689,5543.37396472326,5760.90445142996,5863.92759058074
"CPD",4124.29133467842,3451.02828053649,3467.94416261737,968.74496470892,1003.83228804119,1005.40520949612
"NIN",10153.0451505784,9224.00358899808,9415.24193155801,3752.10969035583,3701.6315621519,3882.3244737638
"KLF13",6607.80151603214,7228.59523699685,7189.92852794777,2538.63984462505,2173.6207204763,2281.53964300182
"USP22",4265.3301844837,4606.76575159064,4605.21716313499,1588.17308679743,1573.54758861296,1606.40161964185
"ZFP36L2",8413.27399707977,8445.26120734875,8144.05626604437,3403.80830367327,3514.4249358539,3548.68721429973
"GOLGA8B",539.626903602784,569.30066531333,551.405091160059,2089.80832009534,2124.03626270007,1995.08341012862
"RALGAPA2",4209.26505164185,4225.96263097972,4127.66096811244,1474.44202175823,1323.60144431238,1476.09211762895
"ATP5F1B",20044.1610086612,21244.0540910819,21978.4161424709,9247.75722600014,8897.8803515587,8576.83661955632
"CTNNB1",12340.4613491111,12727.3922986186,12481.4480991873,5703.81600290357,5737.63011410643,5616.78887986661
"MKI67",9439.96674224611,9925.63333872371,9577.70950306053,3855.68619601653,3472.93589975542,3901.42155595535
"MAN2C1",2220.70487115756,2524.72468965042,2690.06912330229,7570.22401667191,7743.27083476938,7188.36640845329
"PARM1",11092.1361256793,11212.7478863886,10742.5527581361,4752.3337891381,4534.4480672506,4287.85663089017
"TGFBR2",5482.11877069192,5490.22899140798,5697.19617402161,2138.55020511214,2247.49144328578,2191.67102092395
"IGF2R",6878.49098553419,6680.23874331712,6185.58354047766,2237.0494310836,2497.43758758636,2237.72868973886
"PLA2G7",1840.51318907378,1775.49454984843,1958.47272556671,425.476037959159,481.677589826218,441.479605957516
"APOB",868.133541347986,796.830529878357,808.399249718586,87.3292106551018,95.121204713581,101.102199837599
"CD93",3772.13221901557,3672.84609829235,3780.0788302919,1297.75268857233,1119.19204694915,1258.16070909012
"ASCC3",3645.10965242075,3525.28488905562,3381.29479114936,1245.96443574198,1194.07469746836,1230.07676469079
"AP2B1",3865.86611298553,4070.78535933077,3777.1248744464,1400.31373829518,1239.61144440571,1252.54392021025
"CLEC2D",572.915576227631,508.372166015582,447.031984619048,2120.27199823084,2118.97662415147,2334.33745847256
"ITGAX",7974.38912905218,8400.51684067696,8278.95358298889,17801.9580464487,17823.0827512798,17141.3163035769
"APLP2",8492.99160783927,8335.78031017311,8379.3880817359,3680.01231876848,3647.9993935368,3821.66315386124
"MACF1",19380.1395915656,18898.3068681186,18632.5688214675,9244.71085818659,9173.12468860225,9162.10602083842
"SLCO2B1",10292.3319649823,11643.055412679,11597.2306494342,4344.12050212239,4066.93746536045,3756.50840285479
"CD207",4747.13991984332,5435.96454672093,5645.0096207511,14659.1219188029,13875.5527556662,13671.2641335953
"HUWE1",11260.3315242049,11045.1945133198,10995.6083089007,4974.71863952725,4861.30071748982,4497.92453499718
"TBC1D14",1660.92956043974,1649.82952004682,1634.52223451017,415.321478580659,351.138915272474,332.513901688103
"PLXNC1",14209.8831223064,12947.3061007714,13422.7753619534,5175.77891522156,5833.76324652972,5451.65528679853
"CERS6",1596.98026829201,1388.02737462681,1449.40766819216,310.729516982106,243.874578042266,294.31973730501
"PPP1R16B",13940.9456882057,15671.000420941,15512.2067966707,6024.70007926417,6424.72902900559,5816.74656398986
"GM2A",20432.2368500509,20137.8210257071,19874.2149285261,9734.1606202303,10111.1816755117,9839.49075975033
"PNN",5388.38487672196,4996.13694241531,5558.3602492831,12711.4774300066,11967.0570951363,12717.533381794
"CENATAC",771.77159427606,640.701250427878,598.668384688064,2586.366273704,2519.69999720018,2751.10319335867
"DOCK11",4009.53301589276,3865.15167420087,3733.8001887124,1477.48838957178,1475.39060077022,1433.40452214196
"ST14",4495.72283975566,5402.64427366747,5414.60106480208,1648.08498713058,1467.29517909247,1389.593568879
"LRRC37A6P",1435.79301137169,1585.09298954297,1597.10546046717,380.795976693758,372.389397176572,367.337992743276
"CSNK1A1",3445.37761667167,3571.93327133046,3414.77295739837,1104.81606038082,1114.13240840056,1273.88771795375
"CLASRP",1310.52248017819,1574.62090372617,1552.79612278467,4544.16532187884,4398.84975414826,4377.72525296804
"SPG7",3598.6807142861,3464.35638975787,3383.26409504636,8310.49139536457,7925.41782251879,7806.21318523862
"FOSB",25.4045133189622,31.4162574504012,50.2172493735054,734.174643065565,588.941927056427,643.684005632714
"GALNT2",3037.15336816697,3226.35443937605,3245.41282225635,1098.72332475372,1117.16819152972,1164.92201368434
"PRKCA",10125.8886018581,9716.1916223877,9228.15806134299,3584.55946061057,4098.30722436173,3603.73174532242
"ITPR2",11732.5050648573,9953.241564968,10081.8513006926,3820.14523819178,3965.74469438855,4109.24274451041
"HERC1",9794.75391101092,9719.04764579229,9465.45918093151,3809.99067881328,4334.08638072625,4056.44492903967
"LRBA",3347.26363419844,3237.77853299437,3409.84969765586,1218.54712542002,1222.40867334049,1111.00084043762
"MLEC",8480.72736003012,8205.35524136387,8376.4341258904,3879.04168258708,3894.90975470822,3834.02008939695
"CPED1",7892.91948289137,6904.91258447756,7020.56839280575,2767.11743064131,2507.55686468355,2344.44767845632
"SSH1",8638.41054614782,8377.66865344031,8240.55215699738,3682.04323064418,3451.68541785133,3798.0726405658
"RASSF2",5984.07691316659,6298.48361490467,5990.62245467464,2696.03551499181,2569.2844549764,2619.67033356979
"VSIG4",8169.741076298,8774.6559066772,9274.43670292249,3645.48681688158,3425.37529739863,3236.39375257914
"ANXA6",2649.95354447796,2895.05572444454,2829.8896999893,938.281286573419,985.617589266254,912.166514090338
"ITGA4",4616.6132824459,4284.98711467441,3893.31380436942,1317.04635139148,1383.3051791858,1500.80598870036
"NEK9",3963.98009545876,4115.52972600255,4117.81444862744,1424.68468080358,1620.09626326003,1516.53299756399
"SIRPA",14765.278344521,16271.7173437047,16143.3686956592,7328.5455034636,6926.64517302619,6958.07806437876
"CYFIP1",25209.1613717164,28561.1860536208,27522.0066125264,12584.5454377753,12243.3133598895,12169.334787119
"HDLBP",11258.5794888035,11938.1778311524,12281.5637536418,5523.06484596626,5460.36192164343,5443.79178236672
"APP",5456.71425737296,5523.54926446144,5951.23637673464,2389.3678217611,2292.01626251341,2337.70753180048
"OLFML3",14510.3571936307,16032.7633855214,16022.2565059937,6971.10501334039,6923.60938989703,6439.08677187909
"SEC23B",2859.32177493423,2887.43966203232,3069.16012347483,938.281286573419,1030.14240849389,863.862129723485
"SLC15A4",550.139116010631,643.55727383246,556.32835090256,24.3709425084005,37.441325259601,15.7270088636265
"TMED10",7299.8554995487,6898.24852986687,6882.71712001574,3188.53164484907,3131.91626158014,3057.77986619938
"HSPA5",24549.5200431241,24572.2733652213,25597.0120532087,12189.5330779516,12536.772395708,12819.7589394076
"ARRB1",5088.78682309833,5625.41409922486,5368.32242322257,1990.29363818604,1582.65493800043,1740.08119498268
"ZNF700",648.253098483864,642.605266030933,518.911576859556,2290.86859578965,2195.88313009011,2169.20386540449
"FMN1",1626.76487011424,1591.75704415366,1638.46084230418,461.016995783909,459.415180212402,472.933623684769
"HERC2",7185.09718076304,7466.59718737867,7511.9097151073,3448.48836493867,3318.11096016842,3379.06019012775
"SPRING1",2825.15708460873,2871.25552940636,2964.78701693382,949.45130188977,1066.57180604377,940.250458489671
"DIP2B",3962.22806005746,3955.59241534596,3960.27013686742,1607.46674961658,1415.68686589681,1421.04758660625
"M6PR",8401.00974927062,8923.16912371546,9075.53700932547,4026.28279357533,3764.37108015448,3667.7631385529
"TGOLN2",9377.76948549968,8933.64120953226,8821.49680661244,4303.50226460839,4131.70083878246,4096.88580897471
"ITGB2-AS1",2113.83071167779,2578.03712653595,2553.20250246077,7504.21938071165,6961.05071515663,6626.68752046663
"ASMTL-AS1",208.492212755621,271.322223435283,214.654124773023,1184.02162353312,1162.70493846707,1189.63588475575
"MYCBP2",9142.12072402379,8813.68822653982,8798.84981179694,3998.86548325338,3920.2079474512,4267.63619092265
"MAT2A",12048.7474547933,11150.8673792894,11270.3262025322,5273.26268525516,5483.63625896697,5411.2144068635
"SH3PXD2A",2974.08009371989,2975.02437977284,3167.62531832484,951.48221376547,806.506384646,1023.3789339117
"PGGHG",400.340089198819,506.468150412528,457.863156052549,1816.65067281369,1728.37252819996,1718.73739723918
"C3AR1",8883.6955023309,8438.59715273806,8918.97734951395,4129.85929923603,4155.98710381571,3985.67338915335
"MT-ND6",29859.9393444878,32314.0008072414,32280.8294796275,76775.5770930265,66712.3461909312,69087.6265801353
"CKAP5",4581.57257441974,4531.55713526999,4478.19706177848,1843.05252719779,1985.40216646857,1843.43011037222
"ATP2A2",12032.9791361816,12282.8046553053,11833.5471170743,5942.44814829832,5996.68360779448,6091.96921910333
"SMC1A",7708.07974805341,8094.9223363867,8201.16607905738,3787.65064818058,3605.49842972861,3610.47189197826
"SCARB2",3087.96239480489,2812.23104571167,2654.62165315628,862.122091234668,842.935782195882,684.124885567753
"MLXIPL",497.578053971398,642.605266030933,550.420439211559,2149.72022042849,2056.2371061489,2040.01772116755
"ITGB5",5640.67797451027,6387.97234824823,6043.79365989365,2549.8098599414,2501.48529842524,2481.49732712507
"DDB1",16557.6105600588,17414.1267055375,18323.3881096385,8432.34610790657,7845.47553345099,7870.2445784691
"TBC1D5",3983.25248487315,3403.42789046013,3401.97248206786,1270.33537825038,1173.83614327398,1171.66216034018
"USP9X",6319.59169251702,5772.02330066007,5496.32717652759,2412.72330833165,2258.62264809269,2201.78124090771
"TFRC",6953.82850779042,6625.97429863006,6662.15508355171,2829.06024285016,3114.71349051492,2903.87985089104
"ATRN",2927.65115558523,2697.03810172686,2897.83068443581,1005.30137847152,1038.23783017164,1061.57309829479
"PRPF8",16569.874807868,18204.2931808052,17739.4895041779,8043.42648371002,7457.90722062863,6908.65032223593
"DOCK2",12526.1771016497,13863.1376058407,13305.6017800819,6182.09574963093,5544.35192155011,5813.37649066194
"SRSF11",7411.10974753174,6694.51886034003,6780.31331737173,14851.0430910566,15494.6370912165,16396.5300981066
"AGER",190.09584104189,158.033295053533,163.452223451017,933.204006884169,897.579878520705,926.770165177991
"MPEG1",5356.84823949842,5226.52283038492,5485.49600509409,2418.81604395875,2346.66035883824,2410.72578723875
"KIAA0100",7690.55939404033,8431.93309812737,8750.60186632044,3635.33225750307,3464.84047807767,3571.15436981919
"MAPK8IP3",2278.52203940072,2765.58266343683,2635.91326613478,6689.82371855594,6652.41276369235,6566.02620056407
"SGPL1",4040.19363541565,3941.31229832305,4177.87821748595,1593.25036648668,1465.27132367303,1315.45195566476
"EEF1A1",326051.160130269,339071.858630974,349514.024943494,181511.733434753,179065.667873316,173012.824508755
"SPTBN1",3229.87726231082,3133.05767482637,3172.54857806734,1298.76814451018,1201.15819143639,1209.85632472327
"TNF",2379.26407497591,2507.58854922293,2552.21785051227,6566.95355007608,6001.74324634307,5724.63122636005
"CSDE1",19848.8090614154,18225.2373524388,18243.63130181,8998.97052122689,9141.75492960096,9298.03231173119
"SORT1",9054.5189539584,8051.12997751644,8141.10231019887,3610.96131499467,3761.33529702532,3553.18064540362
"ADAR",9930.53665461228,9884.69700325804,9994.21727727607,4781.78201133575,5053.56698233642,4795.61434563011
"PGM1",1575.95584347631,1612.70121578726,1591.19754877617,430.553317648409,482.689517535937,399.915368246503
"TTLL3",1146.70717015592,1214.76195474884,1075.23992776212,3276.87631144202,2996.3179484778,3133.0448371896
"TLR4",3045.03752747285,2567.56504071915,2729.45520124229,771.746512766016,777.160481064151,924.523449626044
"MT-ATP6",77044.8807548073,78956.6710352703,80410.6167223126,183574.124444527,164245.986564482,158067.672657206
"BIRC6",7411.10974753174,6772.58350006527,6901.42550703724,3184.46982109767,3228.04939400344,3100.46746168637
"NEK6",5218.43744279511,5424.5404531026,5693.25756622761,2359.91959956345,2348.68421425767,2154.60021431683
"GIMAP6",3345.51159879713,3390.09978123874,3378.34083530386,1174.88252009247,1327.64915515126,1095.27383157399
"PTGS1",10545.5010804713,10795.7684693197,11028.1018232012,5420.50379624341,5496.79131919332,5369.65016915248
"RANBP2",10679.5317886713,9450.58144576159,9217.32688990949,4289.28588147849,3957.6492727108,4012.63397577671
"NSD1",5689.73496574689,5831.04778435476,5793.69206497462,2742.74648813291,2674.52493678717,2706.16888231973
"LCP1",35151.9622741379,34624.5237415482,34084.7118492797,18033.4820002785,17243.2481736108,16092.1001408178
"MT-ND4",210496.541254717,212496.709371109,196055.034117804,443084.043921478,404338.990755529,407453.098923284
"MBP",6040.14204600844,5948.14474394262,5579.0379402016,2606.675392461,2377.0181901298,2298.39000964142
"GALNT10",2940.79142109504,2796.99892088723,2805.2734012768,1032.71868879347,1120.20397465887,1094.15047379802
"TM9SF2",7250.79850831209,6654.53453267588,7249.99229680628,3187.51618891122,3207.81083980906,2993.7484729689
"SAMHD1",34952.2302383888,33480.2103641124,33748.9455348411,17702.4433645394,16742.3439573,18126.5010731055
"GTF3C1",3811.55301554499,3983.20064159026,3944.51570569142,1670.42501776328,1698.01469690839,1588.42789522628
"ANKRD12",3488.30248400371,3064.5131131164,2860.41391039281,7845.41257582926,7822.20119612745,8452.14390642328
"ZFP36",2336.33920764387,2876.96757621552,3121.34667674533,8474.99525729627,7899.10770206609,8130.86358249491
"CD180",6041.01806370909,5713.9508247669,5951.23637673464,2730.56101687871,2758.51493669385,2767.95355999827
"ZNF26",604.452213451171,522.652283038492,550.420439211559,1789.23336249174,1773.90927513731,1813.09945042094
"FUCA1",10721.5806383027,10962.3698345869,10594.8549658611,5451.98293031676,5304.52505434672,5024.77933192867
"SLC36A1",1796.71230404109,1785.96663566523,1899.3936086567,602.165371145062,502.928071730316,518.991292499675
"EIF4G1",12541.9454202615,13333.8212681915,13478.9005230179,6678.65370323959,6341.75095680864,6323.38092095383
"GDI2",14428.0115297692,13906.9299647109,14022.42839859,7447.35384819205,6979.26541393157,7083.89413528777
"ARHGAP31",4656.03407897532,4963.76867716338,5022.70958929904,2170.02933918549,2188.79963612208,2092.8155366383
"CCNL1",6015.61355039013,5191.29854172841,5435.27875572058,12184.4557982624,12262.5399863742,12079.4661650411
"PIGR",14623.3634770151,14605.703691032,14232.1592636205,7649.42957982421,7535.82565427699,7209.71020619678
"PSMA3-AS1",2507.16265927138,2114.40932719215,2072.69235159272,5775.91337449092,5688.0456563302,6054.89841249621
"PRAM1",5582.86080626712,6467.94100357653,6490.8256445127,14069.142018912,13721.7397437889,13818.4240022478
"CEP350",6218.84965694183,5908.16041627847,5581.9918960471,2483.80522398115,2496.42565987664,2681.45501124832
"APAF1",5075.64655758852,4434.4523395142,4366.93139159797,1828.83614406789,1828.55337146214,1841.18339482028
"TDRD6",1107.28637362649,837.766865344031,852.708587401091,134.040183796203,155.836867296718,146.036510876532
"GSTM2",2647.325491376,3043.5689414828,3229.65839108035,8086.07563309972,7983.09770197277,7197.35327066108
"TBC1D8",2295.16637571314,2313.37895771136,2354.30280886375,4951.3631529567,4909.87324755633,5022.53261637672
"ITGB1",8885.44753773221,7726.49531719563,7722.62523208633,3245.39717736867,3543.77083943575,3199.32294597202
"CD36",3052.04566907808,2731.31038258185,2833.8283077833,1102.78514850512,1109.07276985197,1082.91689603828
"NPIPB5",373.183540478549,308.450527694848,307.211407932033,1329.23182264568,1401.51987796074,1259.28406686609
"PJA2",8404.51382007323,7458.98112496646,7526.67949433481,3183.45436515982,3404.12481549454,3503.75290326079
"ADGRE4P",819.076550111369,689.253648305771,842.86206791609,2627.99996715585,2474.16325026282,2332.09074292062
"ZNF106",10330.0007261104,9302.06822872332,9513.70712640802,4436.52699246674,3923.24373058035,4378.84861074401
"ACTN1",7758.88877469133,8261.52370165398,8203.13538295438,3883.10350633848,3832.17023670565,4027.23762686436
"WDR1",15759.5584347631,18012.9396126982,17650.8708288129,8125.67841467587,8075.18312355719,8178.04460908579
"CTSL",3561.01195315798,3545.27705288769,3988.82504337393,1409.45284173583,1439.97313093006,1515.40963978801
"MGA",3067.81398768985,3002.63260601713,3039.62056501983,1295.72177669663,1245.68301066402,1268.27092907388
"MYH9",29201.1740335961,33197.4640470587,32581.14832392,15712.1497263534,15013.9714291,14620.5014542928
"DDX39B",4626.24947715309,4524.89308065929,4538.26083063699,9783.91796118495,8906.98770094617,9394.6410804649
"HSD17B4",8785.58151985767,8454.78128536402,8344.92526353839,4017.14369013468,4234.91746517379,4285.60991533823
"SLC37A2",6781.25302076161,7962.5932519744,7942.20261660185,3128.61974451591,2897.14903292534,2650.00099352107
"MYO1D",3136.14336834086,3417.70800748304,3241.47421446235,1300.79905638588,1248.71879379318,1106.50740933372
"CRYBG3",1984.18009198102,1872.59934560421,1949.61085803021,699.649141178664,670.908071543661,689.74167444762
"PCDHGC3",624.60062056621,716.861874550063,612.453511967066,87.3292106551018,72.8587950997641,97.7321265096791
"CANT1",1543.54318855212,1701.2379413293,1744.80325274219,514.836160489961,507.987710278911,535.841659139275
"CENPT",545.759027507361,629.27715680955,558.29765479956,1730.33691809644,1838.67264855933,1809.72937709302
"FAM168B",5990.20903707117,5509.26914743853,5718.85851688861,2456.3879136592,2356.77963593543,2666.85136016067
"MYOF",7749.25257998414,7878.81656544,7688.16241388882,3566.28125372927,3767.40686328364,3926.13542702676
"MYO5A",6192.56912592221,5931.00860351513,5973.88337155014,2670.64911654555,2775.71770775907,2940.95065749816
"ATP5F1A",18343.810651692,19635.1609065007,19414.3824685766,9994.1173403199,9628.49215797577,9055.38703212095
"NRIP1",2826.90912001004,2265.77856763499,2453.75265566226,741.282834630515,835.85228822785,787.473800957299
"CARD9",657.889293191057,743.518092992827,771.967127624083,2743.76194407076,2450.88891293929,2151.23014098891
"SCD",32967.1741287071,30987.8539397139,30834.3757672808,17235.3336331284,17109.6737159279,16935.7418305738
"SYK",7166.70080904931,7398.05262566871,7608.40560606031,3615.02313874607,3494.18638165952,3717.19088069572
"AKAP13",7186.84921616435,7106.73823840135,6961.48927589574,3617.05405062177,3485.07903227205,3561.04414983543
"USP34",6214.46956843856,5541.63741269046,5397.86198167758,2371.0896148798,2505.53300926411,2459.0301716056
"RGS16",5312.17133676507,5493.08501481257,5696.21152207311,10858.2703434303,10558.4537232075,10677.5156606264
"ADAM9",6154.02434709344,5546.3974516981,5469.74157391809,2520.36163774375,2594.58264771938,2520.81484928414
"ADAMTS10",1427.90885206581,1910.67965766531,1729.04882156619,5141.25341333466,4924.04023549239,4755.17346569507
"PTGFRN",1610.12053380181,1707.90199593999,1816.68284498269,540.222558936211,483.701445245656,558.308814658741
"NKTR",5847.41815186458,4968.52871617102,5014.83237371104,11805.6907334443,11682.7054087052,12134.5106960638
"ARCN1",5350.71611559384,4836.19963175872,5079.81940231204,2291.8840517275,2284.93276854538,2348.94110956022
"FPR1",1395.49619714162,1586.04499734449,1490.76305002916,449.846980467559,465.486746470715,423.505881541943
"COPB2",3808.04894474237,3356.77950818529,3691.4601549269,1524.19936271288,1393.42445628299,1432.28116436599
"XYLT1",2478.2540751498,2388.58757403202,2505.93920893277,971.79133252247,898.591806230424,826.791323116365
"EFCAB14",6971.3488618035,6166.15453049237,6311.61898988568,2483.80522398115,2872.86276789209,2755.59662446256
"WSB1",9458.36311395984,8573.78226055493,8652.13667147043,17325.7092115971,19069.7776896535,18946.5522495661
"MGAT1",8503.50382024712,9983.70581461688,9785.47106419405,4236.48217271029,4026.46035697169,3801.44271389372
"CCR5",1632.02097631816,1545.10866187882,1633.53758256167,511.78979267641,466.498674180434,541.458448019141
"DDIT4",2628.05310196161,3200.65022873481,3216.85791574984,7900.24719647316,7602.61288311844,7253.52115945974
"SLC1A4",6564.00063099945,7156.24264408077,7047.15399541525,3276.87631144202,3077.27216525532,3340.86602574466
"ACACA",3661.75398873318,3458.64434294871,3683.58293933889,1591.21945461098,1505.74843206179,1412.06072439847
"MTATP6P1",18247.4487046201,19719.8896008367,19899.8158791871,43090.8727226656,41879.6401944283,37232.5701268598
"MT-ND1",72793.566853534,79475.5152871027,81747.7740683757,166466.738259567,159546.594280547,148847.152032017
"JAK1",5327.06363767619,5344.57179777431,5325.98238943707,2574.1808024498,2650.23867175392,2470.26374936534
"TMEM140",625.476638266863,624.517117801914,690.241015898574,105.607417536402,102.204698681614,79.7584020941059
"HK1",6186.43700201763,7018.20151285931,6867.94734078824,3036.21325417156,2794.94433424373,2619.67033356979
"MSN",35477.8408587811,38448.7390802834,37446.313601459,20060.3320522272,20451.0590134199,19537.438439728
"RPA1",5681.850806441,5942.43269713345,5891.17260787613,2929.59038069731,2853.63614140743,2838.72509988459
"S100A9",10059.3112566084,13189.1160823593,13189.4128501589,4626.4172528447,4174.20180259065,4160.91720220519
