"","WT_10_1","WT_10_2","WT_10_3","WT_100_1","WT_100_2","WT_100_3"
"CNOT1",9649.52615608103,9768.63156373779,10069.7342113827,4433.28890741927,4451.30088599915,4432.64973600373
"NEAT1",6086.93966226339,6472.19068044381,6536.41435849059,13577.3616271657,12919.3709048404,13028.2823039197
"SYT2",8033.8969584909,8264.71568161099,7826.05336786023,3887.76991347065,3859.91376828784,3897.0613014887
"DYNC1H1",11918.0983493572,11610.4824870682,11694.0609185296,5870.9587560547,6026.21353280742,6141.47647200009
"PPP1R16B",22306.9070708018,23241.9547282485,22320.3953229548,12739.1944229217,12854.721058639,12530.147606084
"ATP1A1",9325.75276979042,9445.38935041256,9147.5240876163,4496.74337372927,4327.30036131775,4809.05978963142
"A2M",49920.4599429066,51211.8515702313,48924.4293864815,28469.2724966937,29100.9094589916,29721.412741916
"ABHD2",2938.78310289773,2954.30789126793,3063.12001661281,1212.26443099694,1232.58641200405,1291.21757202136
"PRKDC",12297.9924559382,11725.9261346844,12627.1847715714,6632.41235177465,6133.25672078026,6472.00569819556
"MALAT1",68304.3128164872,66278.2970718449,73377.5493053261,145453.737169485,130180.414078134,129794.988118948
"XACT",785.690084065204,731.492930804173,748.499932800578,2085.47365394942,1947.97405439677,2103.96365796375
"MYCBP2",9080.76424083053,9156.78023137217,9405.81568046607,5000.59077786237,5079.78217776046,4750.07015436141
"HSPA8",21053.9040658571,21992.0148708772,21090.7818245995,12641.6450194899,11978.2387175149,12291.380034753
"PRKCA",11019.0875800903,11066.8478555667,10779.12661428,6189.1781691914,6289.05225179023,6248.2196215363
"LRBA",3924.13344184214,3917.73760501001,3982.60170806043,1907.42231564674,1997.78623097819,1853.02362221195
"PSAP",219619.804899402,225370.13836396,215889.935660189,132564.903855862,139413.683915949,138416.83830254
"SMCR8",3578.77516313216,3813.83832215547,3764.32712255357,1843.02076775003,1783.69985503252,1816.50622894956
"FOS",16265.2956826191,16409.7897647834,15994.9797304541,25515.3250277254,25960.6226672736,26366.4942788612
"ARHGAP35",6860.75805549794,7057.80482016938,6852.00303003591,3628.26955871037,3927.74311512211,3835.26263596774
"LRP10",8156.93084528133,8596.35379658103,8077.97861863272,4774.23827863716,4832.84096194194,4802.50538571253
"ARRB1",6151.69433952151,6231.85799586109,5923.42656419218,3185.98245771383,3187.97930121082,3480.38848093068
"RALGAPA2",3465.45447793045,3454.91352683979,3667.92251395471,1834.49703346959,1812.31536072823,1790.288613274
"CD93",4218.7672233666,4337.53268725057,4213.60897772184,2360.12731409716,2255.32578223957,2235.05173634155
"EEF1A1P5",17016.4499388133,16556.7180435676,16641.6181900182,10040.0119007801,10604.6944441208,9703.32683020841
"MGAT5",4341.80111015703,4072.01229773341,4431.88356322869,2294.77868461374,2146.16292717816,2283.74159402473
"PLXDC2",26960.6098764188,26007.3548325082,27159.7247791296,17500.1735593449,16711.455326294,16597.6234094639
"IGF2R",6240.19239844095,6214.01670486586,6078.0377289262,2989.93656926354,3509.10886512933,3229.44844517889
"SLC31A1",8108.36483733774,8054.81814049071,8125.27144549254,5004.37910420924,4963.20048788906,4839.9591223919
"TRIP12",13161.3881527131,13178.4171192367,13426.6154409902,8403.45491893424,7650.93835619712,8023.52674013856
"GAS7",6162.4867857312,5841.44856937737,5825.2030007141,3034.44940383921,3249.44964677938,3422.33518907766
"CBL",10076.9070259846,10180.0307443335,10402.6029542807,6227.06143266005,6496.77962647019,6014.13376729023
"FOSB",849.365516702356,900.460451405997,886.740503621584,1861.01531789764,2194.9152702153,2226.62464558869
"DOCK2",15935.0468286027,16210.3871007192,16172.3278311785,10403.6912300792,10489.1725877937,10676.1876404551
"PARP4",7246.04838518376,7008.47889800612,7071.18709298237,4294.06791417197,4359.09536764631,4407.36846374515
"ANAPC1",2882.66238260736,2856.705534647,2713.88067980185,1494.49474383841,1422.29661643116,1441.03251873885
"MKI67",9229.69999852421,9513.60605127665,9473.11701099735,5781.93308690336,5072.36334295046,5506.63563528473
"TGOLN2",10645.6689412351,10120.2099451143,10447.1673488217,6581.26994609197,6596.40397963303,6325.936125146
"TLN1",33060.5004741338,32606.5335253298,30548.4377191235,18007.8092898248,19889.8961256062,20070.5211430587
"ABCC4",12122.0755827203,11944.2195774495,12604.4478355811,7772.69858218115,7850.18706252279,7496.36539637639
"NRIP1",3219.38670434959,3005.7327888424,3373.25182352047,1699.06436656915,1545.23730756828,1563.6935063638
"HERC1",8091.09692340224,7951.96834534177,8037.05213385019,4858.52853985492,4856.15729991622,5130.22558165704
"MACF1",18186.3511079433,17291.3594374886,17712.0731364414,11749.4941648031,10968.2173498108,11160.277187036
"ITGA4",4050.40506249548,3976.50891652369,3972.5974562247,2318.45572428164,2216.11194110101,2086.17313304104
"HUWE1",10653.2236535819,10507.4709084812,10202.5179175661,5909.78910111007,6612.30148279731,6328.74515539696
"PRPF8",18721.6564399438,19555.1044184708,18237.751096537,10690.6569508542,11521.4504599278,12035.7582819163
"SMC1A",9126.09251491121,8637.28381709948,8552.72584211013,5468.44908170025,5432.70674800754,5519.74444312251
"CTNNB1",14148.8969808995,13914.1080008633,14070.5254682354,9395.04934022627,9143.18398655112,9338.15289758453
"FTX",1251.92376032368,1115.60543105428,1224.15663371759,2901.85798169892,2521.34400185523,2443.85631832905
"USP34",5661.71728160173,5501.41455276252,6013.46483071375,3373.50461188367,3016.28626703657,2927.94586490994
"EIF3L",8694.39466652374,8709.69846878598,8307.16693341492,5407.8358601504,5235.57770877043,5461.69115126948
"RANBP2",9585.85072344387,9093.81096903609,9803.25732157646,6007.33850454186,5548.22860433466,5456.07309076758
"TNS3",5115.61950339157,5237.99313865656,4958.47100076397,2852.60973918967,3088.35494804798,2975.69937917614
"FOXN3",9010.61334046756,8564.86916541299,9362.1607633647,5606.72299336084,5528.09176699323,5569.37064422268
"GOLGA8A",3184.85087647859,3219.82828078508,3467.8374772401,6825.61699546479,5702.96430180034,6050.65116055262
"LRP1",9821.12605081505,9544.04119473909,9012.01194911412,4521.36749498389,5519.61309863895,5270.67709420469
"ZNF106",10544.2199468641,10452.8975477899,10967.3884442797,6669.34853365659,6177.76972964025,5635.85102682857
"DOCK8",18901.8902916456,18633.6542129528,18908.035969531,12362.2559514086,12959.6445795232,12768.915177415
"FCGBP",360850.835243985,344210.977683146,321608.502718114,172956.986447728,206980.192031239,207003.99359664
"UBR5",5854.90206875512,5719.7079955276,5869.76739525508,3617.85166125649,3123.32945500941,3207.91254658825
"BIRC6",6587.70916639286,6265.44160244033,6592.80195974652,3770.33179671782,4061.28214170208,3558.10498454038
"GNS",5549.47584102099,5677.72848730355,5705.15197868533,3365.92795918994,3393.58700880221,3603.04946855563
"PLEKHB2",8908.08510147554,9171.4730592506,8913.78838563604,5907.89493793664,5966.86285432744,5745.40320661573
"CX3CR1",28810.4351567591,30032.1401834895,28923.201534537,19806.3172229992,20397.556393319,20196.9275043516
"CCNL2",5762.08703135182,5934.85297517589,5776.09121897505,8715.99184255064,9058.39730300828,9050.69546857035
"MYOF",9331.14899289526,8772.66773112206,9168.44206872737,5909.78910111007,5917.05067774602,5888.66374941433
"GALNT2",3845.34858451143,3772.90830163702,3866.1885957901,2183.97013896792,2206.57343920244,2339.92219904379
"NIN",9487.63946293572,9094.86045674169,9906.93774969222,5953.35485409903,6101.4617144517,5607.76072431904
"USP9X",6047.00761128755,5931.70451205909,6096.22727771844,3859.35746586916,3602.37421702646,3784.70009145058
"ASCC3",3269.03195691415,3269.15420294835,3185.89947096042,1928.2581105545,1791.11868984252,1770.62540151733
"CERS6",1450.50477058191,1404.21455009467,1682.53326328198,678.110416088912,624.241957584167,647.013301136159
"KLF13",7306.48608395801,7724.22951322627,7638.70101530019,4507.16127118315,4633.59225561626,4933.59346409033
"NOTCH2",3081.2433928656,3154.7600430378,3136.78768922138,1858.17407313749,1710.57134047682,1684.48180715477
"IQGAP1",19800.9010609125,20384.1997058959,20993.467738561,13941.9880380515,12931.0290738275,12502.0573035745
"SSH1",9194.08492603224,9159.92869448898,8863.76712645739,5862.43502177426,5761.25514673605,6119.00422999247
"TLR8",2257.77974706649,2122.06414072602,2207.30174593803,1151.65120944709,1026.97870441266,1175.11098831531
"ATRN",3125.49242232532,3206.18494061226,3113.14127579147,1796.61377000093,1886.50370882821,1723.80823066812
"CSNK1A1",3993.20509758414,3919.83658042121,4066.27363250472,2459.57088070238,2221.41110882243,2369.88518838729
"PRRC2B",9196.24341527418,8742.23258765962,8561.82061650624,5346.27555701384,5390.31340623612,5856.82807323686
"TBC1D14",1704.12725650956,1927.90891518976,1817.13592434454,920.5633022883,907.217513908399,889.526246135095
"SCRN1",7851.50461754719,8337.13033329749,8093.43973510613,5374.68800461533,5094.61984738046,5270.67709420469
"FKBP11",800.799508758765,752.482684916201,845.814018839049,1582.57333140303,1701.03283857825,1633.91926263762
"TFRC",9186.53021368546,9838.94724001308,10519.9255439906,6308.51044911766,5911.75151002459,5736.97611586287
"CEP350",5854.90206875512,5674.58002418675,5910.69388003761,3781.69677575842,3327.87732905651,3403.60832073797
"CLTC",18779.9356494761,18419.5587210101,19166.3275623808,13071.6200598592,11982.478051692,11584.4407549299
"HERC2",7266.55403298217,6897.23320121237,6593.71143718614,3820.52712081379,4075.0599777778,4412.05018083007
"IER2",2482.26262822798,2348.75348513592,2412.84364729032,3835.68042620125,4242.51367777491,4166.72820558018
"DDX39B",6895.29388336894,6664.24693056886,6828.356616606,9799.45317775416,10261.3083757723,10346.5947576766
"ZFP36L2",10358.5898720575,9943.89601057322,9643.18929220477,5564.1043219586,6387.61677140878,6338.1085895668
"ITGB1",9351.65464069367,9477.9234692862,10375.3186310923,6307.56336753094,5932.9481809103,5556.2618363849
"DIP2B",4163.72574769719,4002.74610916372,3942.5847007175,2489.8774914773,2513.92516704524,2343.66757271173
"SEL1L",5613.15127365814,5370.22858956234,5693.32877197037,3543.0322159059,3140.28679171797,2980.38109626106
"LIPA",12306.6264129059,12162.5130202146,13271.0947988166,8466.90938524424,8275.18031378128,7893.37500517774
"CD163",3062.89623430913,2874.54682564222,2913.96571651647,1529.53676254692,1715.87050819824,1711.63576624732
"DDB1",19144.7203313635,19685.2408939654,19001.712145811,12545.0426976449,13024.2944257247,13700.5768773144
"NOMO2",1942.64031774364,1825.05912004083,1833.50651825755,991.594421292027,937.952686692679,821.17317669524
"NSD1",5851.66433489222,6040.85123344163,6098.04623259766,3921.86485059244,3964.8372891721,3929.83332108315
"GSTM2",3972.69944978573,3874.70860908035,3476.93225163622,6063.21631815812,6221.22290495596,6660.2107250094
"RASSF2",5881.88318427934,6153.14641794098,6191.72240887768,4033.62047782497,3724.25507461929,3937.32406841903
"MSH6",2707.82475401043,2701.38135421799,2780.27253289352,1655.49861358019,1587.6306493397,1614.25605088095
"PDIA6",3821.60520285012,3894.64887548678,3650.64244260209,2200.0705259421,2352.83046831384,2361.45809763443
"SORT1",9919.3373113232,9923.9557441668,10335.3016237494,6531.074621996,6897.39670621012,6942.05009352168
"RAPGEF1",17703.9287623703,16968.1172241634,16059.5526286666,10213.3278311492,11215.1585656293,11426.1987174595
"CARD9",983.191849702473,993.864857204522,983.145112220443,1749.25969066511,1816.55469490537,1877.36855105354
"ATP2A2",13997.8027339639,13413.5023652914,14001.4051828249,9227.41589937747,9864.93063020955,9310.062595075
"CDC42BPB",3045.62832037363,2893.43760434305,2702.0574730869,1575.94376029602,1528.27997085971,1722.87188725113
"KAT6A",3312.2017417529,3286.99549394357,3375.9802558393,2026.75459557301,2115.42775439388,2044.97402269373
"CPD",3291.69609395449,3137.96823974817,3439.64367661213,2011.60129018554,1675.5968335154,1763.13465418146
"HYOU1",4038.53337166483,4011.14201080853,3652.46139748131,2165.97558882031,2110.12858667246,2437.30191441016
"SPG7",4526.35194034267,4289.2562527929,4151.76451182824,6454.36101347198,6596.40397963303,6741.67260228704
"MAN2C1",3612.23174638219,3712.03801471214,3586.97902182926,5362.37594398802,5780.33215053319,5947.65338468434
"NIBAN1",5773.95872218247,5791.0731595085,6284.4891077181,3829.99793668095,3773.00741765642,3928.89697766617
"ITGB2-AS1",3124.41317770435,3501.09098588626,3107.6844111538,5157.80632125729,5149.73119168331,5359.62971881819
"CENATAC",1034.99559150897,1043.19077936779,1162.31216782398,2015.38961653241,1972.35022591534,1957.89408491419
"PECAM1",9037.59445599178,9307.90646097878,8872.86190085351,6261.15636978184,6197.90656698168,6352.15374082156
"ARHGAP31",6876.94672481247,6589.73330347116,6387.26005839424,4423.81809155211,4403.6083765063,4425.15898866785
"AKAP13",7133.80694460302,7590.94457461489,7312.19861447952,4668.16514092493,5027.85033409047,4917.6756260016
"DCTN1",4428.14067983452,4471.86711356755,4508.27966815609,2397.0634959791,2580.69468033522,2897.98287556644
"PIK3CG",11011.5328677435,10718.4179373071,11262.0591347139,7637.26591528071,7241.84260810291,6675.19221968115
"IL6R",18138.8643446207,18223.3045200626,18375.0821899184,12967.4410853204,13422.791838376,13194.0150887259
"USP22",4926.75169472205,4902.15707286412,4787.48924211694,2939.74124516758,3051.26077399799,3281.88367653001
"CPED1",6162.4867857312,6055.54406132005,6516.40585481913,4221.14263199481,3988.15362714638,3786.57277828455
"CTDSP2",7213.6710465547,7711.63566075905,7069.36813810315,4419.08268361853,4805.28528979051,4899.8851010789
"AHSA2P",3165.42447330116,3242.91701030831,3321.41160946259,5169.17130029788,5174.10736320187,4779.09680028792
"KIAA0100",8230.3194795072,8426.3367882736,8054.33220520282,5700.48407044576,5255.71454611186,5646.15080441539
"EP300",6722.61474401395,7008.47889800612,7079.37238993888,4682.37136472567,4525.48923409914,4818.42322380126
"BAZ2A",6125.79246861827,6409.22141810772,6437.28131757289,4034.56755941168,4264.7701822049,4349.31517189212
"G3BP2",6765.7845288527,6561.39713541992,7066.63970578431,4719.30754660761,4414.20671194916,4362.4239797299
"RAB11FIP1",2147.69679572769,2259.5470301598,2621.11398096144,1169.6457595947,1179.59473478978,1323.05324819883
"TIFAB",5170.66097906098,5563.334327393,5246.77534912094,3621.63998760335,3350.13383348651,3409.22638123988
"LUZP1",2808.19450376052,2851.45809611899,2973.08175009124,1744.52428273153,1707.39183984396,1833.36041045528
"ROBO1",3556.11102609182,3695.24621142251,3515.13030409992,2348.76233505657,2297.71912401099,2226.62464558869
"PLXNC1",13246.6484777697,13157.4273651247,13829.5139467383,9692.43295845521,9495.04872325391,9607.81980167601
"MRC1",962.686201904068,959.231762919675,1007.70100308996,452.704998450419,366.702406322787,457.871930905328
"EIF4G1",14335.6063003271,13914.1080008633,13590.3213801203,9921.62670244057,9512.00605996248,10113.4452468475
"KCTD20",6609.29405881224,6757.65133636738,6956.59293559127,4718.3604650209,4442.82221764487,4200.43656859162
"ASXL2",4190.70686322141,3752.96803523059,4216.33741004068,2620.57475044416,2385.68530818669,2406.40258164968
"ACACA",3318.67720947871,3427.62684649416,3327.77795153987,2111.99193837748,2104.82941895103,2217.26121141885
"EFCAB14",7137.04467846592,6809.07623394185,7137.57894607404,4934.29506679223,4854.03763282765,4733.21597285569
"PARP1",6895.29388336894,7014.77582423973,7020.25635636411,4855.68729509477,4650.54959232483,4949.51130217907
"NFATC3",1063.05595165416,960.281250625277,1004.97257077113,504.794485719819,470.566093662768,435.399688897704
"MBP",6012.47178341655,6293.77777049157,6184.44658936079,4227.77220310182,4269.00951638205,3957.92362359268
"CCDC69",7761.92731400679,7751.51619357191,7274.00056201582,4987.33163564834,5223.91953978329,5310.00351771803
"GTF2I",3142.76033626082,3429.72582190536,3080.40008796544,1801.34917793451,1984.00839490248,2005.64759918039
"REL",2142.30057262284,1954.1461078298,2187.29324226657,1238.782715425,1023.79920377981,997.205739088291
"KMT2C",6977.31647456256,6206.67029092665,6646.46112868362,4425.71225472554,4402.54854296202,4371.78741389975
"ITPR2",9293.37543116136,9308.95594868438,10024.2603394021,6695.86681808465,5974.28168913743,5704.20409626842
"MCM3AP",5106.98554642382,4963.027359789,4678.35194936351,3009.82528258459,3215.53497336225,3302.48323170366
"PARM1",12487.9395092287,12357.7177334564,12623.5468618129,9264.35208125941,8941.81561313687,9031.96860023066
"SORL1",4651.54431637504,4952.53248273299,4763.84282868703,2991.83073243697,3220.83414108367,2718.20493950545
"FLNB",2337.64384901817,2369.74323924795,2142.72884772559,1306.97258966857,1311.01409428118,1401.70609522551
"PJA2",8156.93084528133,7470.25348847073,8256.23619679665,5536.63895594383,5234.51787522615,5007.56459403209
"SPTBN1",3053.18303272041,3068.70205117848,2926.69840067103,1800.4020963478,1856.82836958822,1980.36632692182
"TBC1D9",4661.25751796376,4468.71865045074,4740.19641525712,2864.92179981698,3183.73996703368,2856.78376521913
"DIAPH1",9159.54909816124,9859.93699412511,9377.6218798381,6550.96333531705,6731.00283975729,6679.87393676607
"PCNX1",4315.89923925378,4356.42346595139,4490.99959680347,3023.08442479861,2875.3284056466,2883.93772431168
"TANC2",3670.5109559145,3612.33668268,3704.30161153919,2336.45027442925,2395.22381008526,2474.75565108953
"POLR2B",7574.13874995824,7180.59488172475,7355.85353158089,5252.51447992892,5159.26969358188,5052.50907804734
"EGR1",5130.72892808514,5391.21834367437,4979.38898187505,7284.00448343551,8139.52162011274,7844.68514749456
"ASMTL-AS1",261.177198274422,262.371926400349,205.541901352285,626.968010406229,630.60095884988,649.822331387112
"SRA1",6211.05279367479,6427.06270910295,5874.31478245314,8619.38952070557,9470.67255173534,9350.32536200533
"GAS6-AS1",1344.73879772698,1434.64969355711,1492.4524784031,2282.46662398642,2495.90799679238,2691.05098041291
"MIR503HG",1807.73474012255,1786.22807493358,1609.77506811303,2715.2829091158,2974.95275880943,2996.29893434979
"NUP98",4656.94053947988,4567.37049477727,4628.33069018486,2940.68832675429,3228.25297589367,3044.98879203298
"SAMHD1",35337.7066243777,35535.6537116632,35835.2300755873,27297.7325739256,26528.6934470107,26914.255177797
"TLR7",8098.65163574902,7909.98883711772,9170.26102360659,5687.22492823173,5355.3388992747,5193.89693401197
"NDST1",6379.41495454591,6435.45861074776,6760.14580863511,4123.59322856302,4432.22388220201,4576.84662221931
"VASH1",22691.1181558666,22475.8287031595,21769.25199455,15250.8547908935,16277.9834066812,16609.7958738847
"TM9SF2",7419.80676915972,7718.98207469826,7843.33343921286,5269.56194848982,5518.55326509466,5333.41210314263
"TRRAP",4018.02772386642,3821.18473609468,3521.4966461772,1966.14137402316,2286.06095502385,2383.93033964206
"TAOK1",6382.65268840881,6149.99795482418,6726.49514336947,4445.60096804658,4431.16404865773,4200.43656859162
"SETX",7165.10503861111,7238.31670553282,8104.35346438147,4960.81335122028,4313.52252524204,4942.02055484319
"VPS13D",3127.65091156725,3169.45287091621,3454.19531564592,1929.20519214122,1932.07655123249,2140.48105122613
"FLNA",5360.60803235147,5102.60922463398,4802.04088115073,2503.13663369133,2934.67908412658,3288.4380804489
"ATP11A",9367.8433100082,9191.41332565702,8883.77563012885,5891.79455096246,6578.38680938018,6382.11673016506
"CYBB",62513.0861803692,63793.1101849808,70228.0289319502,47695.0287070358,42420.8974435719,41000.605542909
"HEG1",2809.27374838149,3016.22766589841,3101.31806907651,1859.12115472421,1867.42670503107,1916.69497456688
"DOCK4",11251.1251735986,11582.146319017,11965.9946729735,8505.73973029961,8409.77917390554,8174.27803027303
"GAB2",4649.3858271331,4650.28002351978,4803.85983602995,3118.73966505697,3264.28731639938,3256.60240427143
"NORAD",10576.5972854931,10524.2627117708,11322.9941231679,7902.44875956129,7540.71566759142,7392.43127709113
"PREX1",32095.6557829878,31541.3035041443,30474.7700465149,19691.7203510065,22823.5153761885,22320.554374072
"ITPR1",3156.79051633341,3141.11670286498,2994.90920864192,2080.73824601584,1813.37519427251,1824.93331970242
"PTPN13",2789.84734520405,2684.58955092837,2774.81566825585,1789.98419889392,1733.8876784511,1794.97033035892
"MED1",3259.31875532543,3418.18145714374,3199.5416325546,2191.54679166165,2065.61557781246,2168.57135373566
"COPB2",3785.99013035815,3704.69160077293,3762.50816767435,2535.33740763969,2449.27532084382,2580.56245720876
"GALC",2816.82846072827,2632.1151656483,2679.3205370966,1733.15930369093,1688.31483604682,1495.34043692394
"TTLL3",1528.21038329166,1680.22981666783,1537.92635038369,2463.35920704925,2575.3955126138,2659.21530423544
"MCM2",1707.36499037246,1720.11034948069,1689.80908279887,936.663689262478,928.414184794109,1059.94074802624
"RGP1",1344.73879772698,1305.56270576814,1183.23014893506,656.327539594436,695.250805051296,695.703158819343
"PSMD2",7352.89360265966,7276.09826293447,7099.38089361034,4994.90828834207,4896.43097459907,5324.04866897279
"OGDH",5956.35106312618,5732.30184799482,5359.55055163281,3449.27113882098,3900.18744297069,3791.25449536947
"TMED10",7491.03691414365,7652.86434924538,7585.04184636308,5563.15724037189,5482.51892458896,5427.04644484106
"TBC1D5",3757.92977021297,3341.56885463484,3737.95227680483,2408.4284750197,2179.01776705101,2229.43367583964
"RPS6KA3",14706.8664499403,14250.9935543613,15361.9834324843,11029.7121588987,10644.9681188037,10376.5577470201
"LENG8",7011.85230243356,7144.9122997343,6361.79469008511,9561.73569948835,11678.3058244821,11495.4881303164
"HIVEP3",4583.55190525401,4594.65717512291,4395.50446564422,2739.90703037042,3044.90177273228,3117.08723514077
"ARFGEF1",3516.17897511598,3332.12346528443,3598.80222854421,2282.46662398642,2356.00996894669,2147.97179856201
"PCDHGC3",839.652315113638,860.579918593144,743.043068162906,393.985940074005,377.300741765642,334.274599863399
"APLP2",7932.44796411985,8040.12531261229,7989.75930699037,5777.19767896978,5844.9819967346,5880.23665866147
"GNB4",4207.97477715691,4067.81434691101,4407.32767235917,2920.79961343325,2473.65149236239,2603.97104263337
"LUC7L",1667.43293939662,1714.86291095268,1740.73981941714,2568.48526317476,2815.97772716661,2677.94217257513
"TGFBR2",6439.85265332015,6182.53207369782,6207.18352535109,4398.24688871077,4163.02616195349,3675.14791166342
"MYO15B",3545.31857988214,3443.36916207818,3066.75792637126,4880.31141634939,5556.70727268894,5733.23074219493
"MIR223HG",1582.17261434009,1502.8663944212,1618.86984250915,2494.61289941089,2418.54014805954,2483.18274184239
"TRAPPC10",3136.284868535,3360.45963333567,3238.64916245791,1564.57878125542,2041.2394062939,1941.03990340848
"WNK1",12069.1925962928,11998.7929381408,12461.659877562,9235.93963365792,8654.6007226355,8700.50303061822
"EPB41L2",6934.14668972381,6494.22992226143,6702.84872993956,4799.8094814785,4239.33417714205,4615.23670231567
"UBE4A",3461.13749944658,3664.81106796007,3704.30161153919,2464.30628863596,2370.84763856669,2211.64315091694
"ZNF700",981.033360460536,943.489447335655,997.696751254233,1734.10638527765,1591.86998351684,1649.83710072636
"FGD5",2625.80216281681,2488.33534998091,2361.00343323244,1418.7282169011,1412.75811453259,1626.42851530175
"CCNL1",8600.50038449946,8128.28227988281,8879.22824293079,13233.5710111877,12034.409895362,11782.0092159136
"BCL9L",1273.50865274305,1235.24702949284,1312.37594535994,604.238052325036,634.840293027022,745.329359919511
"APAF1",4527.43118496364,4157.02080188713,4575.58099868737,3039.18481177279,2708.93453919377,2909.21899657025
"YME1L1",6412.87153779594,6267.54057785153,6653.73694820052,4645.43518284374,4595.43824802198,4526.28407770216
"PNISR",7339.94266720804,7557.36096803565,7833.32918737713,12221.1407949879,10986.2345200636,10410.2661100316
"FAM168B",7455.42184165169,6759.75031177859,7168.50117902084,4877.47017158924,5031.02983472333,5067.49057271909
"ATP5F1B",21781.31494039,23252.4496053045,22510.4761078337,15762.2788477203,17131.149409831,16513.3525019353
"GCN1",5037.91389068183,5059.58022870433,4986.66480139194,3363.08671442979,3659.60522841787,3323.08278687732
"GIMAP6",3068.29245741398,3113.83002251934,3103.13702395574,2136.6160596321,1997.78623097819,2044.97402269373
"RXRA",15405.137719707,16047.7165063509,15131.8856402625,10622.4670766107,11417.5867725878,11628.4488955282
"CHST11",4785.37064937516,4662.873875987,4776.5755128416,3178.4058050201,3344.83466576508,3385.81779581527
"ITPRIPL2",3762.24674869684,3767.66086310901,3709.75847617686,2649.93427963237,2335.87313160527,2294.97771502855
"VPS13C",7791.06691877295,6995.8850455389,8139.82308452633,5342.48723066697,4829.66146130908,4493.51205810771
"DUSP1",6368.62250833622,6295.87674590277,6059.84818013396,8334.31796310395,9108.2094795897,9447.7050773717
"LITAF",8136.42519748293,8320.33853000786,8699.15170988764,5933.46614077798,6227.58190622167,5973.8710003599
"MTATP6P1",24988.829953909,24964.1640531404,25067.9266680223,32213.0860089835,31982.5968659039,32400.2912579081
"HECTD1",6927.671221998,6651.65307810164,7434.06859138751,5026.16198070371,4563.64324169342,4770.66970953506
"XYLT1",2543.77957162319,2365.54528842555,2406.47730521304,1432.93444070185,1577.03231389684,1580.54768786952
"CLEC2D",742.520299226456,671.672131584893,875.826774346241,1818.39664649541,1393.68111073545,1514.06730526363
"DOCK10",16053.7637369092,15753.8599487825,16211.4353610818,12280.806934951,11960.221547262,12230.5177126491
"PSME3",5459.89853748059,5500.36506505691,5646.03594511056,3826.20961033409,3936.22178347639,4057.17602579302
"SNN",6696.7128731107,6901.43115203478,6573.70293351467,4663.42973299135,4963.20048788906,4845.57718289381
"BMP2K",1500.15002314647,1441.99610749632,1591.58551932079,886.468365166511,847.86683542841,915.743861810656
"B3GNT5",5577.53620116617,5730.20287258362,6241.74366805634,4183.25936852615,3837.65726385784,3709.79261809184
"LRRC37A6P",1080.32386558966,1225.80164014243,1175.95432941816,607.079297085185,665.575465811302,611.432251290755
"JADE2",2194.10431442934,2227.01291128616,2152.73309956132,1377.05662708558,1398.98027845688,1448.52326607473
"ZNF26",829.93911352492,861.629406298746,932.214375602178,1712.32350878318,1476.34812718972,1489.72237642204
"MSN",47188.8918072348,47768.4824081531,45597.5609123812,36545.9842682108,35292.4570247076,36408.7774260179
"TXNRD1",7404.69734446616,7258.25697193925,7624.1493762664,5564.1043219586,4987.57665940762,4942.02055484319
"IPO5",6621.16574964289,6537.25891819109,6851.0935525963,4832.01025542686,4934.58498219335,4637.70894432329
"ADAM9",5914.2605229084,5658.83770860272,6205.36457047186,4303.53873003913,3732.73374297358,3731.32851668248
"VIRMA",2869.71144715574,3151.61157992099,3182.26156120197,2008.7600454254,1979.76906072534,2067.44626470136
"ALOX5AP",43491.3997357961,44515.0705207888,42875.4949356229,29673.9602749969,33391.1156462594,32857.2268453964
"LUC7L3",7197.48237724017,7253.00953341124,8020.68153993718,12015.6240906704,10868.5929966479,10308.2046775803
"SLC12A2",1057.65972854931,960.281250625277,1057.72226226862,532.259851734593,563.831445559893,559.933363356618
"DOCK11",3419.0469592288,3683.7018466609,3831.62845308485,2542.91406033342,2319.97562844099,2300.59577553045
"C3",328328.877835715,324982.263941117,307811.729959201,237905.947501562,248587.1373128,250079.536151587
"HELLS",1124.57289504937,1170.17879174556,1289.63900936965,2373.38645631119,2108.00891958388,1873.62317738561
"PIK3AP1",14187.7497872544,13315.9000086705,14222.4082006506,10648.038279452,10113.9915131166,9945.83977520735
"ANKRD17",5088.63838786736,5042.7884254147,5169.46976675393,3676.5707196329,3585.41688031789,3736.0102337674
"CHKA",856.920229049137,905.707889934004,845.814018839049,1440.51109339558,1468.92929237972,1444.77789240679
"ARCN1",5989.80764637621,5795.27111033091,6171.71390520622,4419.08268361853,4043.26497144923,4216.35440668035
"PIGS",2739.12284801853,2812.62705101174,2637.48457487445,1462.29396989006,1590.81014997255,1851.15093537798
"MTPN",8388.9684387896,8508.19682931051,8993.82240032189,6383.32989446825,6398.21510685164,6200.4661072701
"USP37",687.478823557053,766.126025089019,818.529695650693,356.102676605351,356.104070879932,380.15542729563
"TNKS2",6001.67933720687,6281.18391802435,6530.0480164133,4576.29822701344,4493.69422777057,4313.73412204672
"WDFY4",9473.60928286313,9413.90471924452,8882.86615268924,6316.08710181139,6761.73801254157,6908.34173051024
