"","WT_10_1","WT_10_2","WT_10_3","WT_100_1","WT_100_2","WT_100_3"
"NOC3L",1164.50494602521,973.924590798095,1210.51447212341,1449.03482767603,1137.20139301836,984.096931250511
"TP53TG1",36.6943171129353,34.633094284846,40.9264847825346,32.2007739483562,51.9318436699901,54.30791818509
"ZNF317",1915.65920221942,1944.70071847939,1828.95913105949,1878.06278645854,1933.13638477678,1651.70978756032
"MRGBP",913.040949339509,983.369980148508,894.016323138479,975.494034317849,994.123864539811,955.070285323997
"EXOSC10",1842.27056799355,1901.67172254973,1845.32972497251,1703.79977450273,1871.66603920822,1809.95182503067
"FBXL3",1585.410348203,1407.36301321147,1735.28295477947,1686.75230594183,1448.7924550383,1361.44332829519
"CYP4V2",601.139253879558,547.832582323928,676.651215071239,630.756336753094,652.857463279876,655.440391889018
"HECTD3",1227.1011340414,1263.58319754408,1196.87231052923,1235.94147066485,1187.01356959977,1441.03251873885
"HSD17B11",2448.80604497795,2575.44282954582,2776.63462313507,2512.6074495585,2572.21601198094,2448.53803541397
"LINC02012",15.1094246935616,16.7918032896223,17.2800713526257,20.8357949077599,25.4360050628523,19.6632117566705
"PCDHGA11",17.267913935499,16.7918032896223,19.0990262318495,8.52373428044722,13.7778360757117,15.9178380887333
"PLK4",937.863575621789,961.330738330878,930.395420722954,1112.82086439172,893.439677832687,971.924466829715
"EEF2K",1546.55754184813,1663.43801337821,1525.19366622912,1544.69006793438,1559.01514364399,1444.77789240679
"ARIH2OS",85.2603250565262,65.0682377472865,64.5728982124435,86.1844243911886,31.7950063285654,58.9896352700116
"ELOVL1",2964.68497380098,3164.20543238821,2868.49184453587,2677.39964564714,2849.89240058374,3139.55947714839
"TTK",794.324041032953,677.969057818501,703.935538259596,785.130635387861,674.054134165586,582.405605364241
"GBA3",67.9924111210272,85.008504153713,114.594157391097,123.120606273127,99.6243531628382,88.0162811965252
"PAIP2B",42.0905402177788,79.761065625706,50.9307366182653,39.777426642087,54.0515107585611,48.6898576831842
"SPRY4",437.094071492318,373.617623194097,332.868742897948,391.144695313856,350.804903158505,313.675044689744
"TMEM8B",89.577303540401,49.3259221632656,108.227815313814,56.8248952029815,61.4703455685597,88.9526246135095
"AMH",20.505647798405,14.6928278784195,11.8232067149544,7.57665269373086,45.572842404277,14.0451512547647
"ZNF227",308.663961597044,375.7165986053,353.786724009022,412.927571808332,365.642572778502,341.765347199273
"CENPS",8.63395696774949,12.5938524672167,16.3705939130139,13.259142214029,18.0171702528537,21.5358985906391
