"","WT_V_1","WT_V_2","WT_V_3","WT_100_1","WT_100_2","WT_100_3"
"FOS",3452.50817534882,3736.97067177599,3797.73497761073,24545.6112478412,24894.1440341291,25302.7980044784
"GPNMB",5563.63364254756,5633.67764425619,5635.45529749895,741.625312933548,692.09683965062,617.316745235153
"EGR1",944.191502136503,987.224797018051,1089.63153259559,7007.17479333159,7805.14497579553,7528.20915804965
"FOSB",28.5819974550716,35.1439248129403,56.1892903562945,1790.28714977202,2104.74677667611,2136.79653590858
"CD207",5340.89117962183,6080.96396005725,6316.33728652229,24200.3090443991,23441.8585952734,23271.1340147016
"DUSP1",1919.9217600855,2143.77941358936,1967.72691326161,8017.57095063295,8734.0385315087,9066.55889290057
"ARHGEF12",2961.6862880169,2761.46051636225,2785.22600040613,606.78434694563,679.901300625939,639.780964494074
"IER2",861.40226812871,1006.39421055238,987.168709004704,3689.90481250721,4068.22855964968,3998.63102808796
"HSPA8",30050.5207725908,33443.1718454777,33268.4668940916,12161.1973919373,11486.1651714116,11795.5122484743
"TSC22D3",1044.72128628882,919.066882229318,1052.1720056914,3569.64124824772,3931.02874562202,3975.26824005868
"CD163",5084.63878864532,4942.5137896017,5217.89174759629,1471.40648696275,1645.38147341315,1642.58371221231
"NRP1",4599.73041802825,4367.43138357177,4284.70882736528,1465.93996131459,1407.56846243188,1412.55010700096
"RGS1",934.335640945099,809.375238116202,793.260569735923,3320.91433125649,3156.61201755481,3137.8021460861
"SH3PXD2A",3346.06487448166,3328.02318304359,3544.33229561176,1051.39509966255,1069.14225449699,1102.54388122785
"CMKLR1",5034.37389656916,5426.00899763427,5270.77578557869,1731.97754285832,1847.6241622391,1621.01806172375
"MRC1",1852.90190398395,1873.27768927158,1946.79364822691,435.499876636653,351.638041878288,439.400128704497
"RALGAPA2",4735.74130246962,4727.39037104976,4618.53931712915,1764.77669674728,1737.86431101697,1718.06348892229
"APOB",976.715844068137,891.377729346396,904.537399657212,133.018790771865,97.5643121974442,99.7411335096099
"LRP1",13877.0525574968,15683.7751733386,14138.7679047515,4349.53224071837,5292.86393671135,5058.04360833868
"CCL22",147.83791787106,216.188385970512,168.567871068884,1100.59383049598,1238.8635059238,1291.24332300279
